rssd,CDFI
176464,FALSE
452159,FALSE
828651,FALSE
112510,FALSE
3402913,FALSE
99536,FALSE
593940,FALSE
627108,FALSE
812614,FALSE
697978,FALSE
2655495,FALSE
401072,FALSE
3918898,FALSE
828473,FALSE
641449,FALSE
1016848,FALSE
2624400,FALSE
543262,FALSE
106359,FALSE
80374,FALSE
67656,FALSE
937834,FALSE
289515,FALSE
639651,FALSE
751656,FALSE
471057,FALSE
3592047,FALSE
877958,FALSE
645317,FALSE
2877484,FALSE
661308,FALSE
3555695,FALSE
603232,FALSE
208347,FALSE
797775,FALSE
472250,FALSE
533535,FALSE
2797359,FALSE
14977,FALSE
3019982,FALSE
795249,FALSE
364850,FALSE
99255,FALSE
773032,FALSE
711472,FALSE
157650,FALSE
160959,FALSE
2372774,FALSE
2451240,FALSE
2796277,FALSE
729459,FALSE
736448,TRUE
648242,FALSE
526452,FALSE
510871,FALSE
526519,FALSE
219343,FALSE
455253,FALSE
959715,FALSE
933256,FALSE
166652,FALSE
35057,FALSE
3284070,FALSE
3633173,FALSE
260055,FALSE
83834,FALSE
2684552,FALSE
2734729,FALSE
1394676,FALSE
547251,FALSE
764030,FALSE
306159,FALSE
51253,FALSE
3446636,FALSE
3187612,FALSE
570558,FALSE
821643,FALSE
408307,FALSE
859141,FALSE
725732,FALSE
1007819,FALSE
207845,FALSE
680354,FALSE
550756,FALSE
77851,FALSE
859002,FALSE
939249,FALSE
582971,FALSE
132554,FALSE
645157,FALSE
410748,FALSE
3042234,FALSE
904845,FALSE
165806,FALSE
318639,FALSE
324863,FALSE
765354,FALSE
671464,FALSE
246657,FALSE
580548,FALSE
1436204,FALSE
2903123,FALSE
3302312,FALSE
340135,FALSE
175056,FALSE
393355,FALSE
371849,FALSE
537355,FALSE
121642,TRUE
767611,FALSE
229342,FALSE
246022,FALSE
88231,FALSE
7045,FALSE
3938186,FALSE
213958,FALSE
540551,FALSE
176325,FALSE
359838,FALSE
986757,FALSE
1000856,FALSE
275255,FALSE
929352,FALSE
473501,FALSE
976703,FALSE
642437,FALSE
103134,FALSE
75633,FALSE
3353154,FALSE
765019,FALSE
2850722,FALSE
23504,FALSE
3443345,FALSE
964700,FALSE
972406,FALSE
800657,FALSE
3378773,FALSE
995076,FALSE
3545258,FALSE
338851,FALSE
424437,FALSE
2808602,FALSE
285544,FALSE
1001648,FALSE
268677,TRUE
734051,FALSE
192147,FALSE
3337097,FALSE
933966,FALSE
954251,FALSE
3139321,FALSE
1885932,FALSE
991621,FALSE
549862,FALSE
299868,TRUE
813572,FALSE
1929247,FALSE
31255,FALSE
234355,FALSE
876700,FALSE
175140,FALSE
160650,FALSE
345309,FALSE
372855,FALSE
3455236,FALSE
826956,FALSE
340742,FALSE
783844,FALSE
63733,FALSE
321152,FALSE
1001853,FALSE
2512347,FALSE
1867983,FALSE
54656,FALSE
795548,FALSE
482053,FALSE
2697963,TRUE
3465226,FALSE
542528,FALSE
76153,FALSE
773443,FALSE
184656,FALSE
775241,FALSE
293053,FALSE
2562164,FALSE
174367,FALSE
2823230,FALSE
548829,FALSE
371924,FALSE
2304636,FALSE
3317932,FALSE
2850768,FALSE
879457,FALSE
914853,FALSE
625654,FALSE
3594005,FALSE
3783313,FALSE
3617856,FALSE
940852,FALSE
82659,FALSE
730745,FALSE
678557,FALSE
772240,FALSE
996260,FALSE
65746,FALSE
900146,FALSE
2354985,FALSE
256553,FALSE
214807,FALSE
304913,FALSE
981350,FALSE
872047,FALSE
222446,FALSE
771140,FALSE
1436071,FALSE
642549,FALSE
823142,FALSE
537038,FALSE
2652092,FALSE
1000959,FALSE
98717,FALSE
197478,FALSE
961576,FALSE
643340,FALSE
3706013,FALSE
3121072,FALSE
239275,FALSE
1190476,FALSE
139656,FALSE
985451,FALSE
507068,FALSE
435750,FALSE
321255,FALSE
601032,FALSE
564557,FALSE
377663,FALSE
830645,FALSE
839817,FALSE
680813,FALSE
131717,FALSE
675079,FALSE
450753,FALSE
391959,FALSE
1459717,FALSE
3034257,FALSE
812379,FALSE
3058329,FALSE
339456,FALSE
999935,FALSE
321947,FALSE
217059,FALSE
1470150,FALSE
917854,FALSE
276654,FALSE
77150,FALSE
422433,FALSE
980661,FALSE
236153,FALSE
3547131,FALSE
131436,FALSE
921039,TRUE
223322,FALSE
637554,FALSE
804338,FALSE
537449,FALSE
978118,FALSE
2596646,FALSE
2328137,FALSE
170332,FALSE
894946,FALSE
3637685,FALSE
376442,FALSE
17147,FALSE
1007846,FALSE
472616,FALSE
460350,FALSE
382649,FALSE
917050,FALSE
538222,FALSE
640442,FALSE
959304,FALSE
214414,FALSE
629746,FALSE
334657,FALSE
398051,FALSE
805250,FALSE
114260,FALSE
42448,FALSE
858443,FALSE
91754,FALSE
371755,FALSE
677354,FALSE
640246,FALSE
57040,FALSE
651952,FALSE
397540,FALSE
563233,FALSE
276551,FALSE
379649,FALSE
513256,FALSE
986551,FALSE
837000,FALSE
818540,FALSE
525053,FALSE
333940,FALSE
850054,FALSE
343248,FALSE
342362,FALSE
197254,FALSE
328058,FALSE
239613,FALSE
926632,FALSE
432058,FALSE
739560,FALSE
632858,FALSE
191355,FALSE
682563,FALSE
3285246,FALSE
368344,FALSE
37659,FALSE
698546,FALSE
644057,FALSE
578862,FALSE
524766,FALSE
707354,FALSE
193649,FALSE
2823221,FALSE
3016347,FALSE
37640,FALSE
556936,FALSE
439132,FALSE
325141,FALSE
536059,TRUE
565844,FALSE
786256,FALSE
2728661,FALSE
333856,FALSE
576354,FALSE
1003558,FALSE
750239,FALSE
1009756,FALSE
2853358,FALSE
657365,FALSE
17110,FALSE
426534,FALSE
499743,FALSE
780722,FALSE
1414819,FALSE
318947,FALSE
731247,FALSE
117038,FALSE
617275,FALSE
596642,FALSE
747051,FALSE
3357620,FALSE
211114,FALSE
568470,FALSE
2339900,FALSE
163549,FALSE
3180136,FALSE
636771,FALSE
189745,FALSE
1187001,FALSE
557858,FALSE
3449066,FALSE
2524797,FALSE
913753,FALSE
733054,FALSE
447874,FALSE
820301,FALSE
422059,FALSE
1015850,FALSE
201834,FALSE
2161,FALSE
103255,FALSE
320052,FALSE
478533,FALSE
101019,FALSE
2754389,FALSE
68756,FALSE
216922,FALSE
842460,FALSE
674849,FALSE
34555,FALSE
521804,FALSE
459671,FALSE
930965,FALSE
3151417,FALSE
3625002,FALSE
1009840,FALSE
411576,FALSE
709143,FALSE
2805928,FALSE
74403,FALSE
752644,TRUE
779351,FALSE
963945,FALSE
2615190,FALSE
435077,FALSE
203043,FALSE
177920,FALSE
836843,FALSE
793571,FALSE
302656,FALSE
3686928,FALSE
1897270,FALSE
253356,FALSE
770068,FALSE
255350,FALSE
501105,FALSE
855563,FALSE
196800,FALSE
456045,FALSE
3118447,FALSE
923752,FALSE
849432,FALSE
3109043,FALSE
978417,FALSE
856346,FALSE
287959,FALSE
3690596,FALSE
692946,FALSE
282075,FALSE
2631846,FALSE
2132941,FALSE
339773,FALSE
1014657,FALSE
18827,FALSE
2649122,FALSE
30502,FALSE
3678857,FALSE
289702,FALSE
685649,FALSE
709956,FALSE
1401387,FALSE
186221,FALSE
936136,FALSE
95051,FALSE
2953418,FALSE
3202702,FALSE
2794732,TRUE
176101,FALSE
245276,FALSE
2376,FALSE
342410,FALSE
948643,FALSE
2938769,TRUE
715032,FALSE
1864197,FALSE
107244,FALSE
3212402,FALSE
3368635,FALSE
1001639,FALSE
729310,FALSE
2760102,FALSE
3465392,FALSE
455972,FALSE
60330,FALSE
556815,FALSE
814711,FALSE
375043,FALSE
1188987,FALSE
6039,FALSE
972648,TRUE
2925666,FALSE
292467,FALSE
3232204,FALSE
940311,FALSE
2736291,FALSE
12647,FALSE
431172,FALSE
643658,FALSE
2598396,FALSE
1918344,FALSE
2692753,FALSE
2687133,FALSE
860259,FALSE
664756,FALSE
204004,FALSE
1222948,FALSE
480059,FALSE
264772,FALSE
945053,FALSE
1005655,FALSE
2743244,FALSE
233031,FALSE
316840,FALSE
3437157,FALSE
253468,FALSE
977045,FALSE
663058,FALSE
613008,FALSE
466044,FALSE
918918,FALSE
618807,FALSE
506922,FALSE
2797162,FALSE
647414,FALSE
588348,FALSE
525549,FALSE
879336,FALSE
3350724,FALSE
656470,FALSE
3235410,FALSE
1009354,FALSE
306140,FALSE
203052,FALSE
3348888,FALSE
411473,FALSE
1494914,FALSE
961343,FALSE
2942690,FALSE
1216826,FALSE
663245,FALSE
3532641,FALSE
117775,FALSE
185448,FALSE
3325759,FALSE
260868,FALSE
74056,FALSE
717924,FALSE
2849801,FALSE
3386536,FALSE
547840,FALSE
2009605,FALSE
926342,FALSE
2791517,FALSE
45038,FALSE
345747,FALSE
35301,FALSE
936426,FALSE
3284490,FALSE
3076248,FALSE
3750650,FALSE
675332,FALSE
140362,FALSE
1014059,FALSE
100562,FALSE
266271,FALSE
366247,FALSE
3619216,FALSE
133579,FALSE
2901558,FALSE
960533,FALSE
696645,FALSE
854548,FALSE
285553,FALSE
780218,FALSE
420653,FALSE
915878,FALSE
294779,FALSE
433608,FALSE
3194692,FALSE
695349,FALSE
196752,FALSE
134437,FALSE
342634,FALSE
3290240,FALSE
3475083,FALSE
528960,FALSE
739355,FALSE
3212149,FALSE
3103591,FALSE
90337,FALSE
963730,FALSE
