rssd,CDFI
758075,FALSE
206491,FALSE
877284,FALSE
465878,FALSE
490281,FALSE
965891,FALSE
652593,FALSE
511391,FALSE
899790,FALSE
575870,FALSE
529181,FALSE
96786,FALSE
520889,FALSE
803591,FALSE
330985,FALSE
409395,FALSE
124876,FALSE
148180,FALSE
655277,FALSE
279280,FALSE
900892,TRUE
569178,FALSE
840194,FALSE
934570,FALSE
452186,FALSE
305095,FALSE
358886,FALSE
685694,FALSE
714688,FALSE
828491,FALSE
1015195,FALSE
674492,FALSE
22691,FALSE
181383,FALSE
1227701,FALSE
169578,FALSE
179474,FALSE
677288,FALSE
440183,FALSE
869083,FALSE
922894,FALSE
982692,FALSE
344786,FALSE
213499,FALSE
411772,FALSE
674988,FALSE
53181,FALSE
140399,FALSE
827289,FALSE
232388,FALSE
267988,FALSE
586689,FALSE
693970,FALSE
448479,FALSE
971678,FALSE
456081,FALSE
960289,FALSE
181486,FALSE
640796,FALSE
764599,FALSE
23586,FALSE
342184,FALSE
436289,FALSE
147585,FALSE
653974,FALSE
512099,FALSE
271686,FALSE
891486,FALSE
340395,FALSE
928878,FALSE
777692,FALSE
578394,FALSE
839899,FALSE
509071,FALSE
780692,FALSE
148591,FALSE
93495,FALSE
75987,FALSE
325084,FALSE
798174,FALSE
340881,FALSE
618094,FALSE
885195,FALSE
669498,FALSE
406590,FALSE
640376,FALSE
407878,FALSE
128397,FALSE
231381,FALSE
99983,FALSE
28282,FALSE
530598,FALSE
1007985,FALSE
622185,FALSE
1227514,FALSE
367879,FALSE
156596,FALSE
561695,FALSE
1001590,TRUE
999494,FALSE
807076,FALSE
550073,FALSE
277389,FALSE
602392,FALSE
291385,FALSE
719188,FALSE
464282,FALSE
344580,FALSE
637778,FALSE
998479,FALSE
288590,FALSE
1007583,FALSE
615897,FALSE
765596,FALSE
771270,FALSE
425292,FALSE
401885,FALSE
976383,FALSE
446886,FALSE
1004180,FALSE
365688,FALSE
243683,FALSE
69098,FALSE
399076,FALSE
300287,FALSE
446493,FALSE
429085,FALSE
990482,FALSE
341981,FALSE
728199,FALSE
843083,FALSE
841593,FALSE
1227279,FALSE
366975,FALSE
664279,FALSE
509183,FALSE
431994,FALSE
497981,FALSE
760498,FALSE
995188,FALSE
683494,FALSE
743688,FALSE
802996,FALSE
62398,FALSE
225997,FALSE
942397,FALSE
639594,FALSE
663188,FALSE
477899,FALSE
553083,TRUE
710783,FALSE
124988,FALSE
160799,FALSE
631477,FALSE
66088,FALSE
841397,FALSE
880798,FALSE
642996,FALSE
218887,FALSE
336884,FALSE
987482,FALSE
732084,FALSE
153296,FALSE
939481,FALSE
524999,FALSE
882194,FALSE
538585,FALSE
906296,FALSE
180797,FALSE
837493,FALSE
799489,FALSE
349884,FALSE
542395,FALSE
727370,FALSE
480198,FALSE
64794,FALSE
127680,FALSE
208084,FALSE
269076,FALSE
168487,FALSE
762399,FALSE
808596,FALSE
243179,FALSE
428079,FALSE
41580,TRUE
334693,FALSE
3074,FALSE
605094,FALSE
739597,FALSE
866372,FALSE
419983,FALSE
870294,FALSE
794194,FALSE
283474,FALSE
65577,FALSE
742681,FALSE
948689,FALSE
153287,FALSE
503985,FALSE
970185,TRUE
121781,FALSE
978789,FALSE
336790,FALSE
519490,FALSE
524195,FALSE
690595,FALSE
1004779,FALSE
646882,FALSE
849085,FALSE
357580,FALSE
641382,FALSE
453295,FALSE
922193,FALSE
179483,FALSE
419479,FALSE
694182,FALSE
435198,TRUE
869382,FALSE
151377,FALSE
90588,FALSE
601171,TRUE
700298,FALSE
207087,FALSE
654485,FALSE
854892,FALSE
779089,FALSE
577678,FALSE
392394,FALSE
607874,FALSE
591487,FALSE
1227185,FALSE
1019513,FALSE
719599,FALSE
920096,FALSE
199481,FALSE
294685,FALSE
708481,FALSE
617378,FALSE
635886,FALSE
450276,FALSE
320780,FALSE
790383,FALSE
397296,FALSE
760489,FALSE
266794,FALSE
2630568,FALSE
770282,FALSE
357281,FALSE
851471,FALSE
517290,FALSE
929482,FALSE
448385,FALSE
349697,FALSE
753379,FALSE
225698,FALSE
1000584,FALSE
783983,FALSE
71699,FALSE
289186,FALSE
67674,FALSE
700485,FALSE
477488,FALSE
977577,FALSE
