name,city,state,zip,address,regulator,type,website,rssd
1880 Bank,Cambridge,MD,21613,304 High Street,fdic,bank,,746223
1st Advantage Bank,Saint Peters,MO,63376,240 Salt Lick Road,fdic,bank,www.1stadvantagebank.com,3.317192e+06
1st Bank,Broadus,MT,59317,201 North Wilbur Ave,fdic,bank,,564856
1st Bank & Trust,Broken Bow,OK,74728,710 South Park Drive,fdic,bank,,419255
1st Bank in Hominy,Hominy,OK,74035,117 North Price,fdic,bank,,350657
1st Bank of Sea Isle City,Sea Isle City,NJ,8243,4301 Landis Avenue,fdic,bank,,148470
1st Bank Yuma,Yuma,AZ,85364,2799 South 4th Avenue,fdic,bank,,3.048487e+06
1st Cameron State Bank,Cameron,MO,64429,124 South Walnut,fdic,bank,,941653
1st Capital Bank,Salinas,CA,93901,"150 Main St, # 150, Salinas,",fdic,bank,,3.594797e+06
1st Colonial Community Bank,Collingswood,NJ,8108,1040 Haddon Avenue,fdic,bank,,2.920773e+06
1st Community Bank,Sherrard,IL,61281,407 Third Street,fdic,bank,,338945
1st Constitution Bank,Cranbury,NJ,8512,2650 Route 130,fdic,bank,,1.412619e+06
1st Equity Bank,Skokie,IL,60076,3956 West Dempster Street,fdic,bank,,2.531562e+06
1st Equity Bank Northwest,Buffalo Grove,IL,60089,1330 Dundee Road,fdic,bank,,3.203996e+06
"1st Federal Savings Bank of SC, Inc.",Walterboro,SC,29488,300 Robertson Boulevard,fdic,bank,,535575
1st Financial Bank USA,Dakota Dunes,SD,57049,331 N. Dakota Dunes Blvd.,fdic,bank,http://www.1fbusa.com,526452
1st National Bank,Lebanon,OH,45036,730 East Main Street,fdic,bank,WWW.BANKWITH1ST.COM,480723
1st Security Bank of Washington,Mountlake Terrac,WA,98043,"6920 220th St Sw, Suite 300",fdic,bank,WWW.FSBWA.com,1.018927e+06
1st Source Bank,South Bend,IN,46601,100 North Michigan Street,fdic,bank,www.1stsource.com,991340
1st State Bank,Saginaw,MI,48604,"4800 Fashion Sq Blvd, # 100",fdic,bank,,3.223305e+06
1st State Bank of Mason City,Mason City,IL,62664,123 West Elm Street,fdic,bank,,170640
1st Summit Bank,Johnstown,PA,15904,125 Donald Lane,fdic,bank,http://www.1stsummit.com,526519
"1st Trust Bank, Inc.",Hazard,KY,41701,44 Commerce Drive,fdic,bank,,3.309393e+06
1st United Bank,Faribault,MN,55021,430 4th St Nw,fdic,bank,WWW.1stunited.com,350572
21st Century Bank,Loretto,MN,55357,699 North Medina Street,fdic,bank,,340256
22nd State Bank,Louisville,AL,36048,1920 Main Street,fdic,bank,,449430
5Star Bank,Colorado Springs,CO,80914,"Peterson Air Force Base, 455",fdic,bank,http://www.5star.bank,455253
AB&T,Albany,GA,31708,2815 Meredyth Drive,fdic,bank,,2.775151e+06
Abacus Federal Savings Bank,New York,NY,10013,6 Bowery,fdic,bank,,762773
Abbeville Building & Loan (A State-Chartered Savings Bank),Abbeville,LA,70510,1212 Charity Street,fdic,bank,www.abbemae.com,114774
"Abbeville First Bank, SSB",Abbeville,SC,29620,205 South Main St,fdic,bank,,416272
AbbyBank,Abbotsford,WI,54405,401 East Spruce Street,fdic,bank,,198149
ABINGTON BANK,Abington,MA,2351,6 Harrison Avenue,fdic,bank,,61476
"Academy Bank, National Association",Kansas City,MO,64154,8551 N Boardwalk Avenue,fdic,bank,www.academybank.com,535753
ACB Bank,Cherokee,OK,73728,323 S Grand Street,fdic,bank,,266253
Access Bank,Omaha,NE,68114,8712 West Dodge Road,fdic,bank,WWW.ACCESSBANK.COM,3.614837e+06
AccessBank Texas,Denton,TX,76201,"320 W Eagle Drive, # 100",fdic,bank,,3.535848e+06
ACNB Bank,Gettysburg,PA,17325,16 Lincoln Square,fdic,bank,,5210
Adams Community Bank,Adams,MA,1220,2 Center Street,fdic,bank,,343903
Adams Bank & Trust,Ogallala,NE,69153,315 North Spruce Street,fdic,bank,,463650
Adams County Bank,Kenesaw,NE,68956,401 N. Smith Avenue,fdic,bank,,9553
Adams State Bank,Adams,NE,68301,649 Main Street,fdic,bank,,332756
Adirondack Bank,Utica,NY,13501,185 Genesee Street,fdic,bank,www.adirondackbank.com,101671
Admirals Bank,Boston,MA,2116,579 Boylston Street,fdic,bank,,541307
Adrian Bank,Adrian,MO,64720,130 East Main Street,fdic,bank,,94858
Adrian State Bank,Adrian,MN,56110,322 Maine Avenue,fdic,bank,,293352
Advantage Bank,Oklahoma City,OK,73141,8001 Ne 23rd Street,fdic,bank,,438050
