cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2019","11/18/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","46","369646","47694","43728","45034","722","246759","1893","0","5239","0","2094","22104","369646","315684","309922","226408","309922","73.251971654641","0","0","0","0","5762","53962","53962","0","13242","33764","6956","0","3409","0","766","336243","112325","378241.33","378664.5","249736","370387","14391","4380","0","10011","19132","8681","0","0","38728","49304","1964","38728","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2019","11/18/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","19","107696","8109","7074","2537","0","91548","882","0","1961","2611","0","930","107696","96516","88276","66824","88276","81.4758678415094","0","0","8000","0","240","11180","11180","0","534","16797","-6151","0","25","0","241","101159","5709","108720.67","107030","92118","106483","0","0","0","0","14283","1977","8000","0","12801","11173","882","12801","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2019","11/18/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","9","47352","23988","22284","0","0","21693","1038","0","889","0","0","782","47353","40343","40193","28445","40193","91.4221106776334","0","0","0","0","150","7010","7010","0","657","4443","1910","0","0","0","532","43977","34","48596.67","47499.5","22343","47464","0","0","0","0","554","0","0","0","1985","7010","288","1985","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2019","11/18/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","46","159300","9078","1059","39558","12772","91417","1150","0","5028","0","0","1447","159300","141227","140876","93637","140876","79.9706285073748","0","0","0","0","351","18073","18073","0","500","752","16821","0","52","0","979","144806","37721","156815","159202.5","84742","160532","0","0","0","0","4115","354","0","0","1656","17759","1062","1656","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2019","11/18/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/18/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","14","40617","10814","9858","9502","428","18810","225","0","621","26","0","416","40617","36972","36892","29019","36892","90.5966470763481","0","0","0","0","80","3645","3645","0","300","300","3045","0","238","0","300","38598","4940","40307.67","40484","16552","40363","0","0","0","0","2174","62","0","0","1561","3628","207","1561","0"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2019","11/18/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","41","254343","42527","38190","23108","500","172724","1230","0","4977","0","0","10507","254343","227791","220855","178418","220855","68.5002761505519","0","0","0","0","6936","26552","26552","0","100","0","26452","0","1845","0","724","234522","129690","246612.67","249404.5","143246","245186","6216","4823","0","1393","11829","8242","0","0","21553","26562","1230","21553","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2019","11/18/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","70","368022","85599","72232","17094","4725","240390","2372","0","6362","0","2946","10906","368022","331942","329184","184710","329184","69.9154318625039","0","0","0","0","2758","36080","36080","0","5165","13820","17095","0","0","0","1029","334441","150936","344382.33","355728","271184","358259","7515","4443","0","3072","11981","8787","0","0","65840","33633","2404","65840","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2019","11/18/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","14","55964","18416","17517","12495","0","24084","250","0","632","0","0","337","55964","50583","44794","35286","44794","82.1905272086068","5592","0","0","0","197","5381","5381","0","500","1337","3544","0","198","0","167","54096","6492","56268.67","55949","21239","55996","0","0","0","0","7023","52","0","0","2230","5381","250","2230","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2019","11/18/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","87","630790","62051","50576","70396","0","475104","6572","0","5138","0","60","18041","630790","566816","561512","290573","561512","50.9365056471673","0","0","3077","0","2227","63974","63974","0","54381","2863","6730","0","0","0","1789","596076","180934","629168.33","632609","449372","610325","7968","0","0","7968","9706","11241","0","0","77459","63446","5631","77459","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2019","11/18/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","68","543447","5551","4834","110089","5","411556","5167","0","715","826","0","14705","543447","497663","487186","428048","487186","55.2975600547454","3174","0","5000","0","2303","45784","45784","0","1025","16200","28559","0","3900","0","2178","526484","199114","544179","544415.5","366433","550546","8484","7180","0","1304","67315","1503","5000","6824","60180","45556","4588","60180","0"
