cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2019","11/18/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","7269","615","6654","-28","1003","0","338","","665","4979","2163","577","2239","2706","0","673","2033","0","2033","0","2033","-3","950","0","2033"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2019","11/18/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","2505","675","1830","83","113","0","23","0","90","1520","812","122","586","340","0","0","340","0","340","0","340","76","0","0","340"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2019","11/18/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","1044","87","957","0","91","0","40","","51","444","328","61","55","604","0","0","604","0","604","0","604","-54","474","0","604"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2019","11/18/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","3832","438","3394","46","745","0","309","","436","1806","956","371","479","2287","6","0","2293","0","2293","0","2293","37","1150","0","2287"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2019","11/18/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/18/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","850","128","722","30","121","0","84","","37","633","331","69","233","180","0","0","180","0","180","0","180","-4","63","0","180"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2019","11/18/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","4830","324","4506","0","204","0","121","","83","3873","2070","312","1491","837","0","206","631","0","631","0","631","0","0","0","631"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2019","11/18/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","8271","258","8013","132","1418","0","570","","848","5928","3413","691","1824","3371","36","803","2604","0","2604","0","2604","117","3047","0","2575.56"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2019","11/18/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","895","60","835","0","43","0","49","","-6","716","341","114","261","162","0","34","128","0","128","0","128","-1","0","0","128"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2019","11/18/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","12704","554","12150","0","1002","0","158","","844","8503","5374","931","2198","4649","0","1235","3414","0","3414","0","3414","-24","0","455","3414"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2019","11/18/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","12091","2626","9465","979","1266","0","65","","1201","7108","3889","475","2744","2644","0","641","2003","0","2003","0","2003","1439","0","0","2003"
