cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2019","11/18/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","246759","1893","248652","0","248652","224034","224034","4172","93737","53068","40669","1818","101272","23035","","2894","18994","","2480","0","1074","113","1293","250","","224","26","0","0","1289","","2101","1859","787","3385","1964",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2019","11/18/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","91548","882","92430","0","92430","74698","74698","5111","54328","27317","27011","1744","13375","140","","0","16955","","47","0","24","23","0","730","","0","730","0","0","0","","0","0","2236","2875","882",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2019","11/18/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","21693","1038","22731","0","22731","6558","6558","0","53","53","0","0","288","6217","","12894","2597","","674","0","2","459","213","7","","0","7","0","0","0","","0","0","0","0","288",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2019","11/18/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","91417","1150","92567","14","92581","59313","59313","3415","19942","3525","16417","0","31375","4581","","2700","5517","","23937","0","21","16934","6982","1113","","482","0","631","0","0","","0","0","813","2602","1062",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2019","11/18/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/18/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","18810","225","19035","0","19035","7233","7233","74","2701","1917","784","0","3918","540","","2014","5616","","4063","0","0","1077","2986","109","","0","109","0","0","0","","0","0","0","74","207",""
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2019","11/18/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","172724","1230","173954","48","174002","173316","173316","21640","21672","16575","5097","65","129939","0","","0","200","","486","0","0","0","486","0","","0","0","0","0","0","","136","0","21400","240","1230",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2019","11/18/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","240390","2372","242762","1037","243799","198568","198568","16252","148323","81990","66333","5834","15277","12882","","2232","36613","","1172","0","136","63","973","5214","","5214","0","0","0","0","","860","400","4431","11821","2404",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2019","11/18/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","24084","250","24334","0","24334","21692","21692","227","1382","1382","0","0","16900","3183","","321","1411","","906","0","2","226","678","4","","0","4","0","0","0","","0","0","156","71","250",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2019","11/18/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","475104","6572","481676","0","481676","427607","427607","5732","203775","61242","142533","53561","152256","12283","","9304","39596","","52","0","0","0","52","5117","","0","5117","0","0","15325","","37","37","0","5732","5631",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2019","11/18/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","411556","5167","416723","0","416723","387074","387074","32187","89465","50244","39221","12755","252667","0","","0","22228","","4441","0","94","2586","1761","2980","","2597","383","0","0","0","","1375","1009","27616","4571","4588",""
