cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2019","11/18/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","-2.38658737893041E-03","0","0","0","0","0","0","0","0","-0.290416263310745","","-0.290416263310745","0","-0.307586624083007","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2019","11/18/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","0.163893187790432","0.199847484814221","-0.332299328589207","0","0","1.26862369080985","0","1.3764404609475","0","0","","0","0","0",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2019","11/18/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","-0.506400337600225","0","","0","","0","","0","-3.86958079541383","0","","0","0","0",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2019","11/18/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","8.02457950390098E-02","0","0","0","","0","0","0","0.931134820562561","0.11289950684627","","0.11289950684627","0.110409127154511","0.118935585973332",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2019","11/18/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/18/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","-4.26181842202977E-02","-0.222675924418224","0","0","","-0.402684901581293","","-0.402684901581293","-7.30016261112216E-02","0.301179872149144","","0.301179872149144","0","0.412324375586274",""
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2019","11/18/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","0","0","0","0","0","0","0","0","0","0","","0","","0",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2019","11/18/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","9.41878565528605E-02","8.54023246413462E-02","0","0","0","-1.24719381391868E-02","-3.85010019885768E-02","0","0.121289703742318","0","","0","0","0",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2019","11/18/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","-8.15151049527355E-03","0","0","0","","0","0","0","0","-0.240578350354252","","-0.240575456491929","0","-0.322752432746462",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2019","11/18/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","-9.91509518088573E-03","0","0","0","0","0","0","0","-0.119561597512322","0","","0","","0","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2019","11/18/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","0.697092535546209","0.23615477058876","0","-0.030069622741887","0","0.373042138090612","9.49414955400154E-02","0.436882383535181","8.20802321932981","-0.405070583549184","","-0.405070583549183","0","-0.961194444296112",""
