 ,NAME,COL REF,BRANCH   INSTITUTION  HOLDING CO,ACTION,DEFINITIONS
1,ADDRESBR,F,BR,NC,Physical location of the branch
2,ADDRESS,AU,INST,NC,The physical address of the main office (headquarters) of the institution.
3,ASSET,AY,INST,NC,"Total assets of the institution as of June 30.   This amount is repeated for every location of the institution.  Be sure to use the assets only once for each institution, otherwise duplication of the assets when summarizing by institution.  Please note that assets are not available by location.  They are only reported at the institution level on the quarterly Call Reports and are assigned to the headquarter's location."
4,BKCLASS,AZ,INST,NC,"An alpha code that indicates major groupings of institutions based on insuring agent, entity type, charter agent, Federal Reserve membership status and country.

Note:  The BKCLASS value represents the institution’s class as of the survey date. 
  
N  = NATIONAL MEMBER BANKS
SM = STATE MEMBER BANKS
NM = STATE NONMEMBER BANKS
SI = STOCK AND MUTUAL SAVINGS BANKS
SB = SAVINGS BANKS AND SAVINGS AND LOANS
SL = STATE STOCK SAVINGS AND LOANS                                                                                                                                                         SA = As of July 21, 2011, FDIC supervised state chartered thrifts and OCC supervised federally chartered thrifts. Prior to that date, state or federally chartered savings associations supervised by the Office of Thrift Supervision (OTS). 
OI = OTHER INSURED INSTITUTIONS
NC = NONINSURED INSTITUTIONS
NS = NONINSURED SAVINGS INSTITUTIONS AND INSURANCE CO.
CU = CREDIT UNIONS
"
5,BKMO,O,BR,MODIFIED,"Main office / branch identifier; Main office  = 1, branch = 0"
6,BRCENM,K,BR,NC,"Code used to describe the nature of the reported deposits:
C - Combined
E - Estimated
N - Non Deposit
M - Main Office"
7,BRNUM,C,BR,NC,Numerical reference to identify a branch office within one institution
8,BRSERTYP,M,BR,NC,"Code that defines the type of service the branch office provides:                                                               11- Full Service, brick and mortar office
12- Full Service, retail office
13- Full Service, cyber office
21- Limited Service, administrative office
22- Limited Service, military facility
23- Limited Service, drive-through facility
24- Limited Service, loan production office
25- Limited Service, consumer credit office
26- Limited Service, contractual office
27- Limited Service, messenger office
28- Limited Service, retail office
29- Limited Service, mobile/seasonal office
30- Limited Service, trust office"
9,CALL,BA,INST,MODIFIED,"Prior to 2012, OTS institutions filed a quarterly Thrift Financial Report (TFR). All other institutions file the CALL report."
10,CBSA_DIV_NAMB,P,BR,NC,"The name that corresponds to a code for a county or group of counties within a Core Based Statistical Area that contains a core with a population of at least 2.5 million. A Metropolitan Division consists of one or more main/secondary counties that represent an employment center or centers, plus adjacent counties associated with the main county or counties through commuting ties."
11,CERT,B ,INST,NC,The certificate number assigned to an institution for deposit insurance.
12,CHARTER,BB,INST,MODIFIED,Identifies whether an institution is federally or state chartered.
13,CHRTAGNN,BC,INST,NC,"The name of the chartering agency of the institution.
OCC   = COMPTROLLER OF THE CURRENCY
OTS   = OFFICE OF THRIFT SUPERVISION
STATE = STATE AGENCY
SOVER = FOREIGN COUNTRY"
14,CHRTAGNT,BD,INST,NC,"The abbreviation of the chartering agency of the institution.
OCC   = COMPTROLLER OF THE CURRENCY
OTS   = OFFICE OF THRIFT SUPERVISION
STATE = STATE AGENCY
SOVER = FOREIGN COUNTRY"
15,CITY,AV,INST,NC,The city where the of the headquarters of the institution is located.
16,CITY2BR,Q,BR,NC,Central city based on the reported ZIP code of the branch
17,CITYBR,G,BR,NC,Reported city in which the branch is located
18,CITYHCR,AQ,HCR,NC,The city of the headquarters of the top regulatory bank holding company
19,CLCODE,BD,INST,NC,"A two-digit numeric code that identifies the major and minor categories of an institution.
03 - NATIONAL MEMBER BANK
13 - STATE MEMBER BANK
15 - STATE MEMBER INDUSTRIAL BANK
21 - STATE NONMEMBER BANK
23 - STATE NONMEMBER INDUSTRIAL BANK
33 - FEDERAL STOCK SAVINGS BANK
34 - FEDERAL MUTUAL SAVINGS BANK
35 - STATE STOCK S&L ASSOCIATION
36 - STATE MUTUAL S&L ASSOCIATION
37 - FEDERAL STOCK S&L ASSOCIATION
38 - FEDERAL MUTUAL S&L ASSOCIATION
41 - STATE STOCK SAVINGS BANK
42 - STATE MUTUAL SAVINGS BANK
43 - FEDERAL STOCK SAVINGS BANK
44 - FEDERAL MUTUAL SAVINGS BANK
50 - NATIONAL MEMBER TRUST COMPANY
51 - NONINSURED COMMERCIAL BANK
52 - INTERNATIONAL BANKING ACT
53 - NONINSURED INDUSTRIAL BANK
54 - STATE NONMEMBER TRUST COMPANY
55 - STATE DOMESTIC BRANCH OF FOREIGN BANK
56 - NATIONAL DOMESTIC BRANCH OF FOREIGN BANK
57 - NEW YORK INVESTMENT COMPANY
58 - STATE MEMBER TRUST COMPANY
59 - OTS CHARTERED TRUST COMPANY
61 - NONINSURED PRIVATE BANK
62 - NONINSURED OCC LOAN WORKOUT BANK
63 - NONINSURED STATE MEMBER LOAN WORKOUT BANK
64 - NONINSURED STATE NONMEMBER LOAN WORKOUT BANK
71 -
81 - NONINSURED STOCK SAVINGS BANK
82 - NONINSURED MUTUAL SAVINGS BANK
85 - NONINSURED STOCK SAVINGS AND LOAN ASSOCIATION
86 - NONINSURED MUTUAL SAVINGS AND LOAN ASSOCIATION
89 - INSURANCE COMPANY
91 - STATE CHARTERED CREDIT UNION
92 - FEDERAL CHARTERED CREDIT UNION"
,,,,,"82 - NONINSURED MUTUAL SAVINGS BANK
85 - NONINSURED STOCK SAVINGS AND LOAN ASSOCIATION
86 - NONINSURED MUTUAL SAVINGS AND LOAN ASSOCIATION
89 - INSURANCE COMPANY
91 - STATE CHARTERED CREDIT UNION
92 - FEDERAL CHARTERED CREDIT UNION"
20,CNTRYNA,BF,INST,NC,The country name where the headquarters of the institution is chartered.
21,CNTRYNAB,R,BR,NC,Country name in which the branch is located.
22,CNTYNAMB,H,BR,NC,County name in which the branch is located.
23,CNTYNUMB,S,BR,NC,County number that corresponds to the county in which the branch is located.
24,CONSOLD,L,BR,NEW,"When BRCENM = C, consolidated, this is the office number (brnum) in which the deposits are reported.  Both branches should be within the same state and county."
25,CSABR,T,BR,NC,"The identifying code of a geographic entity consisting of two or more adjacent Core Based Statistical Areas (CBSAs) with employment interchange measures of at least 15. Pairs of CBSAs with employment interchange measures of at least 25 combine automatically. Pairs of CBSAs with employment interchange measures of at least 15, but less than 25, may combine if local opinion in both areas favors combination."
26,CSANAMBR,U,BR,NC,"The name of a geographic entity consisting of two or more adjacent Core Based Statistical Areas (CBSAs) with employment interchange measures of at least 15. Pairs of CBSAs with employment interchange measures of at least 25 combine automatically. Pairs of CBSAs with employment interchange measures of at least 15, but less than 25, may combine if local opinion in both areas favors combination."
27,DENOVO,BG,INST,NC,"A flag used to indicate whether an institution is a new institution, not a recharter."
28,DEPDOM,BH,INST,NC,Total domestic deposits of the institution as of June 30.
29,DEPSUM ,BI,INST,NC,Total deposits of the institution as of June 30.
30,DEPSUMBR,N,BR,NC,Branch office deposits as of June 30
31,DIVISIONB,V,BR,NC,"A county or group of counties within a Core Based Statistical Area that contains a core with a population of at least 2.5 million. A Metropolitan Division consists of one or more main/secondary counties that represent an employment center or centers, plus adjacent counties associated with the main county or counties through commuting ties."
32,DOCKET,BJ,INST,NC,A unique identification number assigned to institutions chartered by the Office of the Thrift Supervision (OTS) or that become members of the Federal Home Loan System.
33,ESCROW,BK,INST,NC,Escrow deposits report on the Thrift Financial Reports.  These are included in the total domestic deposits on the Call Reports.
34,FDICDBS,BL,INST,NC,The number assigned to the FDIC Regional Office that services the institution.
35,FDICNAME,BM,INST,NC,The name of the FDIC Regional Office that services the institution.
36,FED,BN,INST,NC,The number that identifies the Federal Reserve District where the institution is located.
37,FEDNAME,BO,INST,NC,The name that identifies the Federal Reserve District where the institution is located.
38,HCTMULT,AN,HCR,NC,"The code that identifies the type of holding companyassociated with the branch.  The options are MULT, Multi-bank holding company; ONE, one bank holding company; and NONE, not a member of a bank holding company."
39,INSAGNT1,BP,INST,NC,"The primary insurer, insurance agent, or insurance status of an institution
BIF        = BANK INSURANCE FUND
DIF        = DEPOSIT INSURANCE FUND
SAIF      = SAVINGS INSURANCE FUND
STATE   = STATE INSURED
PRIV      = PRIVATE INSURED
SOVER  = FOREIGN INSURED
OTHER  = OTHER INSURED
NONE    = NOT INSURED
NCUA    = NATIONAL CREDIT UNION ASSOCIATION INSURANCE
"
40,INSBRDD,BR,INST,NC,Demand deposits in insured branches located in Puerto Rico and U.S. Territories and Possessions.
41,INSBRTS,BS,INST,NC,Time and savings deposits in insured branches located in Puerto Rico and U.S. Territories and Possessions.
42,INSURED,BQ,INST,MODIFIED,"Identifies commercial banks (CB),  savings institutions (SA), and insured branches of foreign banks (IB)"
43,METROBR,Y,BR,NC,"An indicator for an area that contains a core urban area of 50,000 or more population"
44,MICROBR,Z,BR,NC,"An indicator for an area contains an urban core of at least 10,000 (but less than 50,000) population. "
45,MSABR,W,BR,RENAMED,"The Metropolitan Statistical Areas (MSABR) are based on the 2010 Census. These areas correspond to the state/county/CBSA relationships as defined by the Census Bureau. For the purpose of the Summary of Deposits, MSAs reflect only the CBSA codes for metropolitan areas (use MSABR for the Summary of Deposits). "
46,MSANAMB,X,BR,RENAMED,"The Metropolitan Statistical Area name in which the branch is physically located.  The Metropolitan Statistical Areas (MSABR) are based on the 2010 Census. These areas correspond to the state/county/CBSA relationships as defined by the Census Bureau. For the purpose of the Summary of Deposits, MSAs reflect only the CBSA codes for metropolitan areas (use MSABR for the Summary of Deposits). "
47,NAMEBR,AA,BR,NC,Branch name.
48,NAMEFULL,E,INST,NC,Institution name.
49,NAMEHCR,AP,HCR,NC,The name of the headquarters of the top regulatory bank holding company.
50,NECNAMB,AC,BR,NEW,Name of the New England City Town Areas based on the PLACENUM.
