"Account","AcctName","AcctDesc","TableName","Annualize","CBSAccount","FPRAccount","STATAcctMain","STATAcctState","STATAcctGraph","STATAcctTable8"
"Acct_001","Amount - Total Other Loans (Purchased or to non-members)","Include the dollar amount of outstanding loans involving repossession of collateral, any note or contract receivable resulting from the sale of assets acquired in the liquidation of loans and loans to non-members.","FS220A",0,1,1,1,1,0,0
"Acct_002","Amount of Leases Receivable","Leases Receivable. Include the rate, number, and dollar amount of outstanding direct financing leases as defined by GAAP (credit union is lessor). Credit unions that lease personal property such as vehicles to members make direct financing leases.","FS220A",0,0,0,0,0,0,0
"Acct_003","Loans Held for Sale","Loans Held for Sale. Report the amount of outstanding loans either identified for sale at origination or subsequently for which there has been a decision to sell. Loans held for Sale should not be included in the amounts reported under the Loan & Leases section lines 15 through 22.","FS220C",0,0,0,0,0,0,0
"Acct_007","Land and Building","Land and building, less depreciation on building, if any.","FS220",0,1,1,1,1,0,1
"Acct_008","Other Fixed Assets","All other fixed assets such as furniture and fixtures, and leasehold improvements, less related depreciation, if any.  In addition, include leased assets under capital lease (credit union is lessee), less accumulated depreciation, if any.  In this situation, the credit union is leasing assets and granted a lease from an outside entity.","FS220",0,1,1,1,1,0,1
"Acct_009","Other Assets","Include prepaid expenses, accounts receivable, accrued income on loans and investments, etc.  In addition, include direct financing leases, (credit union is lessor).  Credit unions that lease personal property such as vehicles to members make direct financing leases.  In this situation, the credit union is granting a lease to the member.","FS220",0,1,1,1,1,0,0
"Acct_009A","Other Assets, Accrued Interest on Loans","Other Assets, Accrued Interest on Loans.","FS220",0,0,0,0,0,0,0
"Acct_009B","Other Assets, Accrued Interest on Investments","Other Assets, Accrued Interest on Investments.","FS220",0,0,0,0,0,0,0
"Acct_009C","Other Assets, All Other","Other Assets, All Other.","FS220",0,0,0,0,0,0,0
"Acct_009D","Total Intangible Assets,","Total Intangible Assets","FS220G",0,0,0,0,0,0,0
"Acct_009D1","Identifiable Intangible Assets","Identifiable Intangible Assets","FS220G",0,0,0,0,0,0,0
"Acct_009D2","Goodwill","Goodwill","FS220G",0,0,0,0,0,0,0
"Acct_009E","Non-Trading Derivative Assets","Non-Trading Derivative Assets","FS220J",0,0,0,0,0,0,0
"Acct_010","TOTAL ASSETS","TOTAL ASSETS","FS220",0,1,1,1,1,1,1
"Acct_010A","Average of Daily Assets over the calendar quarter","Average Daily Assets over the calendar quarter","FS220A",0,0,0,0,0,0,0
"Acct_010B","Average of the three month-end balances over the calendar quarter","Average of the three month end balances over the calendar quarter","FS220A",0,0,0,0,0,0,0
"Acct_010C","The average of the current and three preceding quarter-end balances","Average of previous four quarter-end balances","FS220A",0,0,0,0,0,0,0
"Acct_011A","Other Notes, Promissory Notes and Interest Payable - < 1 Year","Report by maturity the amount of all promissory notes, both to members and non-members, contained within the figure reported.","FS220A",0,0,0,1,0,0,0
"Acct_011B1","Other Notes, Promissory Notes and Interest Payable - 1-3 Years","Report by maturity the amount of all promissory notes, both to members and non-members, contained within the figure reported.","FS220A",0,0,0,1,0,0,0
"Acct_011B2","Other Notes, Promissory Notes and Interest Payable - > 3 Years","Report by maturity the amount of all promissory notes, both to members and non-members, contained within the figure reported.","FS220A",0,0,0,1,0,0,0
"Acct_011C","Total Amount of Other Notes, Promissory Notes and Interest Payable","The amount of all promissory notes, both to members and non-members, contained within the figure reported.","FS220",0,1,1,1,0,0,0
"Acct_013","Total Amount of Shares","The sum of all shares excluding non-member deposits.","FS220",0,0,1,1,0,0,0
"Acct_013A","Total Shares - < 1 Year","Sum each of the columns by maturity.  Do not include non-member deposits.","FS220A",0,0,0,1,0,0,0
"Acct_013B1","Total Shares - 1-3 Years","Sum each of the columns by maturity.  Do not include non-member deposits.","FS220A",0,0,0,1,0,0,0
"Acct_013B2","Total Shares - > 3 Years","Sum each of the columns by maturity.  Do not include non-member deposits.","FS220A",0,0,0,1,0,0,0
"Acct_014","TOTAL LIABILITIES, SHARES, AND EQUITY","TOTAL LIABILITIES, SHARES, AND EQUITY","FS220A",0,1,1,1,1,0,0
"Acct_017","Income (loss) Div/Int","Income (Loss) Div/Int - a non-operating income (or Loss) for the period before dividends have been deducted. This account was used prior to December 1989.","FS220A",0,0,0,1,0,0,0
"Acct_018","Total Amount of Shares and Deposits","Should include the sum of all deposits both member and non-member.","FS220",0,1,1,1,1,1,1
"Acct_018A","Total Shares and Deposits - < 1 Year","Sum each of the columns by maturity, including non-member deposits, and the total number of accounts.","FS220A",0,1,0,1,0,0,0
"Acct_018B1","Total Shares and Deposits - 1-3 Years","Sum each of the columns by maturity, including non-member deposits, and the total number of accounts.","FS220A",0,1,0,1,0,0,0
"Acct_018B2","Total Shares and Deposits - > 3 Years","Sum each of the columns by maturity, including non-member deposits, and the total number of accounts.","FS220A",0,1,0,1,0,0,0
"Acct_019","Net Reserve Transfer","This account is computed by the system (Acc_019 = Acct_393 - Acct_300).","FS220",1,1,1,1,1,0,1
"Acct_020A","Number of All Deliquent Loans (Including Credit Cards) and Leases as of - 1 month to less than 2 months delinquent","Delinquent Loans Number:  1 month to less than 2 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_020B","Amount of All Deliquent Loans (Including Credit Cards) and Leases as of - 1 month to less than 2 months delinquent","Delinquent Loans Amount:  1 month to less than 2 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_020C","Amount of All Other Delinquent Loans and Leases - 1 month to less than 2 months delinquent","Amount of All Other Loans  - 1 month to less than 2 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_020C1","Amount of New Vehicle Loans Delinquent 30 to 59 days","Amount of New Vehicle Loans Delinquent 30 to 59 days","FS220I",0,0,0,0,0,0,0
"Acct_020C2","Amount of Used Vehicle Loans Delinquent 30 to 59 days","Amount of Used Vehicle Loans Delinquent 30 to 59 days","FS220I",0,0,0,0,0,0,0
"Acct_020D","Amount of Deliquent Leases Receivables - 1 month to less than 2 months delinquent","Amount of Delinquent Leases Receivables - 1month to less than 2 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_020E","Amount of Delinquent Indirect Loans - 1 month to less than 2 months delinquent","Amount of Delinquent Indirect Loans - 1 month to less than 2 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_020F","Amount of Deliquent Participation Loans - 1 month to less than 2 months delinquent","Amount of Delinquent Participation Loans - 1 month to less than 2 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_020G","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 1 month to less than 2 months delinquent","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 1 month to less than 2 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_020G1","Amount of Member Business Loans Secured by Real Estate Delinquent 30 to 59 days","Amount of Member Business Loans Secured by Real Estate Delinquent 30 to 59 days","FS220I",0,0,0,0,0,0,0
"Acct_020G2","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 30 to 59 days","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 30 to 59 days","FS220I",0,0,0,0,0,0,0
