"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
1,6/30/2019 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4206,12/22/2014 0:00:00,1000,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2019 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4532,6/29/2015 0:00:00,750,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2019 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4649,7/31/2015 0:00:00,7500,"Other","Small CU Initiatives Cyber Security","Program Grant"
1,6/30/2019 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",5616,10/10/2016 0:00:00,1250,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2019 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",6554,5/22/2018 0:00:00,2500,"Other","CORNERSTON CU LEAGUE","Program Grant"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",860,10/1/2009 0:00:00,27000,"National Credit Union Foundation",,"Not Collected"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3551,9/4/2013 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3806,3/1/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4134,8/1/2014 0:00:00,6000,"NCUA Technical Assistance Program",,"Program Grant"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4824,8/5/2015 0:00:00,20000,"National Federation of Community Development CUs",,"Program Grant"
6,6/30/2019 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4825,7/31/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
13,6/30/2019 0:00:00,12,"EFCU FINANCIAL",3447,8/26/2013 0:00:00,55680,"Other","LA Incumbent Worker Training Program","Program Grant"
13,6/30/2019 0:00:00,12,"EFCU FINANCIAL",4727,7/21/2015 0:00:00,49792,"Other","Louisiana Workforce Commission – Incumbent Worker Training Program","Program Grant"
13,6/30/2019 0:00:00,12,"EFCU FINANCIAL",6621,10/1/2018 0:00:00,63663,"Other","Louisiana Workforce Commission – Incumbent Worker Training Program","Program Grant"
26,6/30/2019 0:00:00,19,"FARMERS",4358,1/6/2015 0:00:00,900,"Other","OSCUIP-NCUA","Program Grant"
79,6/30/2019 0:00:00,43,"CAMPUS",5509,12/30/2016 0:00:00,7000,"Other","Offcie of Small Credit Union Initiatives","Program Grant"
79,6/30/2019 0:00:00,43,"CAMPUS",5510,10/11/2016 0:00:00,12500,"Other","Louisiana Credit Union League","Pass Through"
79,6/30/2019 0:00:00,43,"CAMPUS",5511,9/23/2016 0:00:00,3000,"Other","Federal Home Loan Bank","Pass Through"
79,6/30/2019 0:00:00,43,"CAMPUS",5512,8/25/2016 0:00:00,12500,"Other","Louisiana Credit Union League","Pass Through"
108,6/30/2019 0:00:00,58,"KEMBA CHARLESTON",1,10/21/2011 0:00:00,750,"Other","VITA","Not Collected"
108,6/30/2019 0:00:00,58,"KEMBA CHARLESTON",1900,8/15/2012 0:00:00,6344,"Other","NCUA","Not Collected"
108,6/30/2019 0:00:00,58,"KEMBA CHARLESTON",3691,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
108,6/30/2019 0:00:00,58,"KEMBA CHARLESTON",3965,9/18/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
108,6/30/2019 0:00:00,58,"KEMBA CHARLESTON",4572,7/1/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
