"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
51,6/30/2019 0:00:00,32,"STATE EMPLOYEES",215,"SEFCU"
77,6/30/2019 0:00:00,41,"SERVICE FIRST",416,"CU Marketing Group LLC"
77,6/30/2019 0:00:00,41,"SERVICE FIRST",702,"Strategic Tech Solutions LLC"
82,6/30/2019 0:00:00,46,"FIRST ATLANTIC",75,"First Atlantic Federal Credit Un"
82,6/30/2019 0:00:00,46,"FIRST ATLANTIC",76,"First Atlantic FCU"
107,6/30/2019 0:00:00,57,"KEMBA ROANOKE",374,"KEMBA Credit Union"
151,6/30/2019 0:00:00,78,"JUSTICE",227,"Justice FCU"
151,6/30/2019 0:00:00,78,"JUSTICE",228,"JFCU"
159,6/30/2019 0:00:00,83,"THREE RIVERS",3,"3Rivers"
196,6/30/2019 0:00:00,105,"GTE",490,"GTE Financial"
227,6/30/2019 0:00:00,121,"PENTAGON",118,"Pentagon Federal Credit Union"
227,6/30/2019 0:00:00,121,"PENTAGON",119,"PenFed"
266,6/30/2019 0:00:00,143,"LIBRARY OF CONGRESS",450,"NAFCU"
340,6/30/2019 0:00:00,183,"JAX",15,"Jax FCU"
383,6/30/2019 0:00:00,211,"ON THE GRID FINANCIAL",66,"CUontheGrid"
434,6/30/2019 0:00:00,234,"EAST OHIO GAS CLEV OPER EMP",386,"N/A"
435,6/30/2019 0:00:00,235,"STATE DEPARTMENT",523,"SDFCU"
566,6/30/2019 0:00:00,290,"NUVISION",553,"Nuvision Credit Union"
566,6/30/2019 0:00:00,290,"NUVISION",668,"Denali, a Division of Nuvision C"
609,6/30/2019 0:00:00,309,"ALBANY FIREMENS",499,"Uncle Sam Branch"
609,6/30/2019 0:00:00,309,"ALBANY FIREMENS",549,"RPI Employees Branch"
624,6/30/2019 0:00:00,321,"UNITED STATES SENATE",225,"USSFCU, US Senate FCU"
665,6/30/2019 0:00:00,342,"PENINSULA COMMUNITY",14,"Peninsula Credit Union"
687,6/30/2019 0:00:00,352,"LARAMIE PLAINS COMMUNITY",398,"Laramie Plains Federal Credit Un"
761,6/30/2019 0:00:00,375,"SKY",622,"Kasasa"
808,6/30/2019 0:00:00,398,"U.S. EAGLE",364,"The Eagle"
911,6/30/2019 0:00:00,457,"STAR USA",496,"Star Financial Services"
948,6/30/2019 0:00:00,476,"NUSENDA",432,"Nusenda Credit Union"
1040,6/30/2019 0:00:00,524,"CAPITAL EDUCATORS",385,"CapEd"
1115,6/30/2019 0:00:00,556,"COASTLINE",481,"Easy Banking"
1117,6/30/2019 0:00:00,557,"WIDGET",62,"Widget Financial"
1127,6/30/2019 0:00:00,561,"SALEM VA MEDICAL CENTER",59,"Salem VA Credit Union"
1148,6/30/2019 0:00:00,575,"COREPLUS",552,"CPCU"
1148,6/30/2019 0:00:00,575,"COREPLUS",629,"CorePlus Credit Union"
1207,6/30/2019 0:00:00,604,"LOS ANGELES",697,"Los Angeles Federal Credit Union"
