"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","RSSD","CU_TYPE","CU_NAME","CITY","STATE","CharterState","STATE_CODE","ZIP_CODE","COUNTY_CODE","CONG_DIST","SMSA","ATTENTION_OF","STREET","REGION","SE","DISTRICT","YEAR_OPENED","TOM_CODE","LIMITED_INC","ISSUE_DATE","Peer_Group","Quarter_Flag"
1,6/30/2019 0:00:00,2,"50377","1","MORRIS SHEPPARD TEXARKANA","TEXARKANA","TX",,48,"75501",37,4,8360,"","419 W 4TH ST","2 ","J",8,1934,"36  ",1,1/1/1934 0:00:00,2,0
5,6/30/2019 0:00:00,6,"859879","1","FIRST CASTLE","Covington","LA",,22,"70433-7149",103,1,760,"","100 Cherokee Rose Ln","2 ","I",4,1934,"00  ",0,1/1/1934 0:00:00,4,0
6,6/30/2019 0:00:00,7,"54571","1","THE NEW ORLEANS FIREMEN'S","METAIRIE","LA",,22,"70004",51,1,5560,"","P O BOX 689","2 ","I",1,1934,"36  ",1,1/1/1934 0:00:00,5,0
12,6/30/2019 0:00:00,11,"56678","1","FRANKLIN TRUST","HARTFORD","CT",,9,"06114",3,1,3280,"","624 FRANKLIN AVE","1 ","A",7,1934,"00  ",1,1/1/1934 0:00:00,3,0
13,6/30/2019 0:00:00,12,"861676","1","EFCU FINANCIAL","BATON ROUGE","LA",,22,"70816-4213",33,6,760,"","10719 AIRLINE HWY","2 ","I",5,1934,"00  ",1,1/1/1934 0:00:00,6,0
16,6/30/2019 0:00:00,14,"59277","1","WOODMEN","OMAHA","NE",,31,"68102",55,2,5920,"","1700 FARNAM ST STE 1000","3 ","D",7,1934,"50  ",0,1/1/1934 0:00:00,2,0
19,6/30/2019 0:00:00,16,"863773","1","NEW HAVEN TEACHERS","New Haven","CT",,9,"06511",9,3,5480,"","90 Hamilton St","1 ","A",9,1934,"04  ",0,1/1/1934 0:00:00,2,0
22,6/30/2019 0:00:00,17,"61074","1","WATERBURY CONNECTICUT TEACHERS","WATERBURY","CT",,9,"06722",9,5,8880,"","P.O. BOX 2121","1 ","A",9,1934,"34  ",0,1/1/1934 0:00:00,5,0
26,6/30/2019 0:00:00,19,"866372","1","FARMERS","JACKSONVILLE","FL",,12,"32218",31,5,3600,"","6611 DUNN AVE","2 ","B",3,1934,"98  ",1,1/1/1934 0:00:00,3,0
28,6/30/2019 0:00:00,21,"953375","1","CENTRIS","OMAHA","NE",,31,"68137-3503",55,2,5920,"","11825 Q ST","3 ","D",5,1934,"00  ",0,1/1/1934 0:00:00,6,0
42,6/30/2019 0:00:00,29,"870276","1","FD COMMUNITY","WATERBURY","CT",,9,"06708",9,5,8880,"","601 WATERTOWN AVE","1 ","A",9,1934,"00  ",1,1/1/1934 0:00:00,4,0
47,6/30/2019 0:00:00,30,"957579","1","FARGO PUBLIC SCHOOLS","FARGO","ND",,38,"58102",17,1,2520,"","415 4TH ST N","3 ","C",1,1934,"04  ",1,1/1/1934 0:00:00,3,0
48,6/30/2019 0:00:00,31,"955472","1","EAGLE EXPRESS","JACKSON","MS",,28,"39205",49,3,3560,"","P O BOX 567","2 ","M",9,1935,"06  ",1,1/1/1935 0:00:00,4,0
51,6/30/2019 0:00:00,32,"954970","1","STATE EMPLOYEES","ALBANY","NY",,36,"12206",1,20,160,"","700 PATROON CREEK BLVD","1 ","J",2,1934,"36  ",1,1/1/1934 0:00:00,6,0
53,6/30/2019 0:00:00,33,"65278","1","MOTION","LINDEN","NJ",,34,"07036",39,10,5640,"","360 N WOOD AVE","1 ","Z",4,1934,"41  ",0,1/1/1934 0:00:00,4,0
60,6/30/2019 0:00:00,35,"64776","1","SIOUX FALLS","Sioux Falls","SD",,46,"57103",99,1,7760,"","1741 S Cleveland Ave","3 ","D",6,1934,"00  ",0,1/1/1934 0:00:00,5,0
62,6/30/2019 0:00:00,36,"871871","1","FIRST CLASS","ALLENTOWN","PA",,42,"18109",77,7,240,"","510 BUSINESS PARK LANE","1 ","F",2,1934,"00  ",0,1/1/1934 0:00:00,3,0
75,6/30/2019 0:00:00,40,"873978","1","LONG ISLAND CITY POSTAL EMPLOYEES","LONG ISLAND CIT","NY",,36,"11101-7848",81,12,5600,"","PO BOX 1221","1 ","L",8,1935,"06  ",1,1/1/1935 0:00:00,2,0
77,6/30/2019 0:00:00,41,"878674","1","SERVICE FIRST","SIOUX FALLS","SD",,46,"57103",99,1,7760,"","3901 EAST 10TH STREET","3 ","D",6,1934,"00  ",0,1/1/1934 0:00:00,5,0
79,6/30/2019 0:00:00,43,"877079","1","CAMPUS","Baton Rouge","LA",,22,"70898",33,6,760,"NICHOLSON EXTENSION","P.O. Box 98036","2 ","I",2,1934,"34  ",1,1/1/1934 0:00:00,6,0
82,6/30/2019 0:00:00,46,"3074","1","FIRST ATLANTIC","EATONTOWN","NJ",,34,"07724-2210",25,4,5190,"","468 INDUSTRIAL WAY W","1 ","E",3,1935,"00  ",0,1/1/1935 0:00:00,5,0
90,6/30/2019 0:00:00,49,"883070","1","POST GAZETTE","CLINTON","PA",,42,"15026",3,18,6280," ","2201 SWEENEY DR","1 ","N",5,1934,"23  ",0,1/1/1934 0:00:00,3,0
98,6/30/2019 0:00:00,54,"5171","1","NIAGARA FALLS TEACHERS","Niagara Falls","NY",,36,"14304-3150",63,26,5700,"","6040 Lindbergh Ave","1 ","M",9,1935,"34  ",1,1/1/1935 0:00:00,3,0
107,6/30/2019 0:00:00,57,"887274","1","KEMBA ROANOKE","SALEM","VA",,51,"24153",775,9,6800,"","2812 W MAIN ST","1 ","P",2,1935,"50  ",1,1/1/1935 0:00:00,4,0
108,6/30/2019 0:00:00,58,"886772","1","KEMBA CHARLESTON","Dunbar","WV",,54,"25064-2705",39,2,1480," ","1830 Roxalana Road","1 ","P",3,1935,"98  ",1,1/19/1936 0:00:00,3,0
110,6/30/2019 0:00:00,59,"885177","1","ITALO-AMERICAN","GLENDALE","NY",,36,"11385-7057",81,6,5600,"","6650 MYRTLE AVE","1 ","L",9,1935,"03  ",1,1/1/1935 0:00:00,3,0
112,6/30/2019 0:00:00,60,"884675","1","ESSEX COUNTY NJ EMPLOYEES","Newark","NJ",,34,"07102-1705",13,10,5640,"","465 Dr Martin Luther King Jr Blvd, ","1 ","D",5,1935,"36  ",1,1/1/1935 0:00:00,2,0
118,6/30/2019 0:00:00,61,"73376","1","THE PARTNERSHIP","WASHINGTON","DC",,51,"20036",13,8,8840,"","PO BOX 18539","1 ","T",4,1935,"36  ",0,1/24/1935 0:00:00,5,0
