"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CEO","Fax","Phone","Preparer","President","Principal","ACCT_876","ACCT_830A","ACCT_830B","ACCT_830C","ACCT_830D","ACCT_830E","ACCT_830F","ACCT_830G","ACCT_830H","ACCT_830I","ACCT_830J","CEO_F","CEO_M","Preparer_F","Preparer_M","President_F","President_M","Principal_F","Principal_M","Acct_891","ACCT_893","ACCT_894","Acct_700","Acct_701","Acct_886A","Acct_886B","Acct_886C","Acct_886D","Acct_886E","Acct_886F","Acct_886G","Acct_887A","Acct_887B","Acct_887C","Acct_887D","Acct_887E","Acct_887F","Acct_887G","Acct_887H","Acct_887I","Acct_887J","Acct_887K","Acct_887L","Acct_889","Acct_711","Acct_887M","Acct_887N","Acct_887P","Acct_887Z","Acct_842","Acct_843","ACCT_830K","ACCT_830L","ACCT_830M","ACCT_830N","ACCT_830O","ACCT_830P","ACCT_830Q","ACCT_830R","ACCT_830S","ACCT_830T","ACCT_566A","CertifiedBy","CertifiedBy_F","CertifiedBy_M","Acct_879A","Acct_879B","Acct_879C","Acct_879D","Acct_879E","Acct_879F","Acct_879G","Acct_879H","Acct_879I","Acct_879J","Acct_879K","Acct_879L","Acct_879M","Acct_879N","Acct_879O","Acct_879P","Acct_879Q","Acct_879R","Acct_879S","Acct_879T","Acct_888","Extension","Acct_834A1","Acct_834B1","Acct_834C1","Acct_834D1","Acct_834E1","Acct_834F1","Acct_834G1","Acct_834H1","Acct_834I1","Acct_834J1","Acct_834K1","Acct_834L1","Acct_834M1","Acct_834N1","Acct_834O1","Acct_834P1","Acct_834Q1","Acct_834R1","Acct_834S1","Acct_834T1","Acct_566B","Acct_887R","ACCT_879A1","ACCT_879A2","ACCT_879A3","ACCT_879A4","ACCT_879A5","ACCT_879B1","ACCT_879B2","ACCT_879B3","ACCT_879B4","ACCT_879B5","ACCT_879C1","ACCT_879C2","ACCT_879C3","ACCT_879C4","ACCT_879D1","ACCT_879D2","ACCT_879D3","ACCT_879D4","ACCT_879D5","ACCT_879D6","ACCT_879D7","ACCT_879D8","ACCT_879U","ACCT_879V","ACCT_879W","ACCT_879X","ACCT_879Y","ACCT_886H","ACCT_887S","ACCT_887T","ACCT_887U","ACCT_845A","ACCT_845B","ACCT_845C","ACCT_845D","ACCT_845E","ACCT_845F","ACCT_845G","ACCT_845H","ACCT_845I","ACCT_845J","ACCT_845K","ACCT_845L","ACCT_845M","ACCT_845N","ACCT_845O","ACCT_845P","ACCT_845Q","ACCT_845R","ACCT_845S","ACCT_845T","ACCT_879D9","Acct_855A","Acct_855B","Acct_855C","Acct_855D","Acct_855E","Acct_855F","Acct_855G","Acct_855H","Acct_855I","Acct_855J","Acct_855K","Acct_855L","Acct_855M","Acct_855N","Acct_855O","Acct_855P","Acct_855Q","Acct_855R","Acct_855S","Acct_855T","BondProvider","MemberMinorityStatus","EligibleMinorityStatus","MemberAsianAmerican","MemberAfricanAmerican","MemberHispanicAmerican","MemberNativeAmerican","EligibleAsianAmerican","EligibleAfricanAmerican","EligibleHispanicAmerican","EligibleNativeAmerican","Acct_887V","Acct_879Q1","Acct_1027Z","Acct_1028Z","Acct_1029Z"
1,6/30/2019 0:00:00,2,"ABERCROMBIE","9037943152","9037983918","ABERCROMBIE","SIMMS",,"",,,,,,,,,,,"JENNIFER",,"JENNIFER",,"HARRY","H",,,"http://www.morrissheppardfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"0","ABERCROMBIE","JENNIFER",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
5,6/30/2019 0:00:00,6,"Arnold","9858751952","9858678867","Alvey","Patorno",,"",,,,,,,,,,,"Kirk",,"Racheal",,"Steven","G",,,"http://www.firstcastlefcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Alvey","Racheal",,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
6,6/30/2019 0:00:00,7,"DeLucca","5048899098","5048899090","Hudson","Bock",,"",,,,,,,,,,,"Judy","S","Lisa",,"Donald","T",,,"http://www.noffcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","0",,"1","0","1","0",,,,,,,,,,,,,"0","Hudson","Lisa",,"0","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","0","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
12,6/30/2019 0:00:00,11,"Dubay",,"8602964379","Althen","Roach",,"",,,,,,,,,,,"Kiernan","J","Deborah",,"Peter",,,,"http://www.franklintrust.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"1","1","0","0",,,,,,,,,,,,,"1","Althen","Deborah",,"0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Berkley Regional Insurance Company","0","0","0","0","0","0","0","0","0","0","1","0",,,
13,6/30/2019 0:00:00,12,"Grodi","2252146851","2252146800","Myers","Bardell",,"",,,,,,,,,,,"Tyler",,"Rick",,"Kimberly",,,,"http://www.efcuFINANCIAL.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"1","Myers","Rick",,"1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
16,6/30/2019 0:00:00,14,"Suntken","4024497752","4022717285","Harlow","Benham",,"",,,,,,,,,,,"Clayton","M","Peggy",,"Michelle","R",,,"http://WWW.WOODMENFCU.ORG",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","1","0","1","1","0","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Harlow","Peggy",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
19,6/30/2019 0:00:00,16,"Persano","2036249849","2038654334","Persano","McCarthy",,"",,,,,,,,,,,"Peter",,"Peter",,"Thomas",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Persano","Peter",,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","1","0","1","1","0","0","1","1","0","0","0",,,
22,6/30/2019 0:00:00,17,"Misset","2037588514","2037589500","Bracken","Cronan",,"",,,,,,,,,,,"Martin",,"John",,"John","F",,,"http://www.wctfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","0","Mobile Deposit Capture",,,,,,,,,,,,,"0","Bracken","John",,"0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
26,6/30/2019 0:00:00,19,"WHITFIELD","9047660099","9047644591","WHITFIELD","ANDERSON JR",,"",,,,,,,,,,,"THERESA","L","THERESA",,"DAVID","B",,,"http://FARMERSFCU.COM",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","WHITFIELD","THERESA",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
28,6/30/2019 0:00:00,21,"Swanstrom",,"4023347000","Huston","Sacco",,"",,,,,,,,,,,"Steve",,"Tom",,"Joe",,,,"http://www.centrisfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","1","0","0",,,,,,,,,,,,,"1","Huston","Tom",,"1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","1",,,
