Fips State,Fips County,State,County Name,Census Tract,Block Group,
1,1,AL,Autauga County,20200,1,
1,1,AL,Autauga County,20200,2,
1,1,AL,Autauga County,20300,1,
1,1,AL,Autauga County,20300,2,
1,1,AL,Autauga County,20400,3,
1,1,AL,Autauga County,20400,4,
1,1,AL,Autauga County,20600,2,
1,1,AL,Autauga County,20700,1,
1,1,AL,Autauga County,20700,2,
1,1,AL,Autauga County,20802,3,
1,1,AL,Autauga County,20900,1,
1,1,AL,Autauga County,20900,2,
1,1,AL,Autauga County,20900,3,
1,1,AL,Autauga County,21000,1,
1,1,AL,Autauga County,21000,2,
1,1,AL,Autauga County,21100,1,
1,1,AL,Autauga County,21100,2,
1,1,AL,Autauga County,21100,3,
1,3,AL,Baldwin County,10100,1,
1,3,AL,Baldwin County,10100,3,
1,3,AL,Baldwin County,10200,1,
1,3,AL,Baldwin County,10200,2,
1,3,AL,Baldwin County,10300,1,
1,3,AL,Baldwin County,10400,2,
1,3,AL,Baldwin County,10400,3,
1,3,AL,Baldwin County,10500,1,
1,3,AL,Baldwin County,10500,2,
1,3,AL,Baldwin County,10500,4,
1,3,AL,Baldwin County,10600,1,
1,3,AL,Baldwin County,10600,2,
1,3,AL,Baldwin County,10600,3,
1,3,AL,Baldwin County,10705,2,
1,3,AL,Baldwin County,10705,3,
1,3,AL,Baldwin County,10800,1,
1,3,AL,Baldwin County,10800,3,
1,3,AL,Baldwin County,10903,1,
1,3,AL,Baldwin County,10903,2,
1,3,AL,Baldwin County,10903,3,
1,3,AL,Baldwin County,10904,1,
1,3,AL,Baldwin County,10904,2,
1,3,AL,Baldwin County,10904,3,
1,3,AL,Baldwin County,10905,1,
1,3,AL,Baldwin County,10905,2,
1,3,AL,Baldwin County,10905,3,
1,3,AL,Baldwin County,10906,1,
1,3,AL,Baldwin County,10906,3,
1,3,AL,Baldwin County,11000,1,
1,3,AL,Baldwin County,11000,2,
1,3,AL,Baldwin County,11201,2,
1,3,AL,Baldwin County,11202,1,
1,3,AL,Baldwin County,11202,3,
1,3,AL,Baldwin County,11202,4,
1,3,AL,Baldwin County,11300,1,
1,3,AL,Baldwin County,11300,2,
1,3,AL,Baldwin County,11300,3,
1,3,AL,Baldwin County,11401,1,
1,3,AL,Baldwin County,11401,3,
1,3,AL,Baldwin County,11401,4,
1,3,AL,Baldwin County,11401,5,
1,3,AL,Baldwin County,11403,1,
1,3,AL,Baldwin County,11403,2,
1,3,AL,Baldwin County,11403,3,
1,3,AL,Baldwin County,11406,1,
1,3,AL,Baldwin County,11406,2,
1,3,AL,Baldwin County,11406,3,
1,3,AL,Baldwin County,11407,1,
1,3,AL,Baldwin County,11407,2,
1,3,AL,Baldwin County,11407,3,
1,3,AL,Baldwin County,11408,1,
1,3,AL,Baldwin County,11501,1,
1,3,AL,Baldwin County,11501,2,
1,3,AL,Baldwin County,11501,3,
1,3,AL,Baldwin County,11502,1,
1,3,AL,Baldwin County,11502,2,
1,3,AL,Baldwin County,11502,3,
1,3,AL,Baldwin County,11502,4,
1,3,AL,Baldwin County,11601,1,
1,3,AL,Baldwin County,11601,2,
1,3,AL,Baldwin County,11601,3,
1,3,AL,Baldwin County,11601,4,
1,3,AL,Baldwin County,11602,1,
1,3,AL,Baldwin County,11602,2,
1,3,AL,Baldwin County,11602,3,
1,3,AL,Baldwin County,11602,4,
1,5,AL,Barbour County,950100,1,
1,5,AL,Barbour County,950100,2,
1,5,AL,Barbour County,950200,1,
1,5,AL,Barbour County,950200,2,
1,5,AL,Barbour County,950200,3,
1,5,AL,Barbour County,950300,2,
1,5,AL,Barbour County,950400,2,
1,5,AL,Barbour County,950400,3,
1,5,AL,Barbour County,950500,2,
1,5,AL,Barbour County,950600,1,
1,5,AL,Barbour County,950600,2,
1,5,AL,Barbour County,950700,2,
1,5,AL,Barbour County,950900,1,
1,5,AL,Barbour County,950900,2,
1,5,AL,Barbour County,950900,3,
1,7,AL,Bibb County,10001,2,
1,7,AL,Bibb County,10002,1,
1,7,AL,Bibb County,10002,2,
1,7,AL,Bibb County,10003,1,
1,7,AL,Bibb County,10003,2,
1,7,AL,Bibb County,10003,3,
1,7,AL,Bibb County,10003,4,
1,7,AL,Bibb County,10004,1,
1,7,AL,Bibb County,10004,2,
1,7,AL,Bibb County,10004,3,
1,7,AL,Bibb County,10004,4,
1,7,AL,Bibb County,10004,5,
1,7,AL,Bibb County,10004,6,
1,9,AL,Blount County,50101,1,
1,9,AL,Blount County,50101,2,
1,9,AL,Blount County,50101,3,
1,9,AL,Blount County,50101,4,
1,9,AL,Blount County,50101,5,
1,9,AL,Blount County,50102,2,
1,9,AL,Blount County,50102,3,
1,9,AL,Blount County,50200,1,
1,9,AL,Blount County,50200,2,
1,9,AL,Blount County,50300,1,
1,9,AL,Blount County,50300,2,
1,9,AL,Blount County,50300,3,
1,9,AL,Blount County,50300,4,
1,9,AL,Blount County,50400,2,
1,9,AL,Blount County,50400,3,
1,9,AL,Blount County,50400,4,
1,9,AL,Blount County,50500,1,
1,9,AL,Blount County,50500,2,
1,9,AL,Blount County,50500,3,
1,9,AL,Blount County,50500,4,
1,9,AL,Blount County,50601,1,
1,9,AL,Blount County,50602,1,
1,9,AL,Blount County,50602,5,
1,9,AL,Blount County,50700,1,
1,9,AL,Blount County,50700,2,
1,9,AL,Blount County,50700,3,
1,9,AL,Blount County,50700,4,
1,11,AL,Bullock County,952100,1,
1,11,AL,Bullock County,952200,1,
1,11,AL,Bullock County,952200,2,
1,11,AL,Bullock County,952200,3,
1,11,AL,Bullock County,952500,2,
1,11,AL,Bullock County,952500,3,
1,13,AL,Butler County,952700,1,
1,13,AL,Butler County,952700,2,
1,13,AL,Butler County,952900,1,
1,13,AL,Butler County,952900,2,
1,13,AL,Butler County,953000,2,
1,13,AL,Butler County,953100,1,
1,13,AL,Butler County,953100,2,
1,13,AL,Butler County,953100,3,
1,13,AL,Butler County,953200,1,
1,13,AL,Butler County,953200,2,
1,13,AL,Butler County,953200,3,
1,13,AL,Butler County,953200,4,
1,13,AL,Butler County,953300,1,
1,13,AL,Butler County,953400,1,
1,13,AL,Butler County,953400,2,
1,13,AL,Butler County,953500,1,
1,15,AL,Calhoun County,200,1,
1,15,AL,Calhoun County,200,2,
1,15,AL,Calhoun County,300,1,
1,15,AL,Calhoun County,300,2,
1,15,AL,Calhoun County,400,1,
1,15,AL,Calhoun County,400,2,
1,15,AL,Calhoun County,400,3,
1,15,AL,Calhoun County,500,1,
1,15,AL,Calhoun County,500,2,
1,15,AL,Calhoun County,600,1,
1,15,AL,Calhoun County,600,2,
1,15,AL,Calhoun County,700,1,
1,15,AL,Calhoun County,700,2,
1,15,AL,Calhoun County,800,1,
1,15,AL,Calhoun County,900,1,
1,15,AL,Calhoun County,900,2,
1,15,AL,Calhoun County,900,3,
1,15,AL,Calhoun County,1000,4,
1,15,AL,Calhoun County,1100,1,
1,15,AL,Calhoun County,1100,3,
1,15,AL,Calhoun County,1100,4,
1,15,AL,Calhoun County,1201,1,
1,15,AL,Calhoun County,1201,2,
1,15,AL,Calhoun County,1202,3,
1,15,AL,Calhoun County,1300,1,
1,15,AL,Calhoun County,1300,2,
1,15,AL,Calhoun County,1400,1,
1,15,AL,Calhoun County,1400,2,
1,15,AL,Calhoun County,1400,3,
1,15,AL,Calhoun County,1400,4,
1,15,AL,Calhoun County,1500,1,
1,15,AL,Calhoun County,1500,2,
1,15,AL,Calhoun County,1500,3,
1,15,AL,Calhoun County,1600,1,
1,15,AL,Calhoun County,1600,2,
1,15,AL,Calhoun County,1600,3,
1,15,AL,Calhoun County,1600,4,
1,15,AL,Calhoun County,1700,1,
1,15,AL,Calhoun County,1700,3,
1,15,AL,Calhoun County,1700,4,
1,15,AL,Calhoun County,1800,1,
1,15,AL,Calhoun County,1800,2,
1,15,AL,Calhoun County,1800,3,
1,15,AL,Calhoun County,1800,4,
1,15,AL,Calhoun County,1800,5,
1,15,AL,Calhoun County,1800,6,
1,15,AL,Calhoun County,2000,3,
1,15,AL,Calhoun County,2000,5,
1,15,AL,Calhoun County,2101,1,
1,15,AL,Calhoun County,2101,2,
1,15,AL,Calhoun County,2102,2,
1,15,AL,Calhoun County,2103,1,
1,15,AL,Calhoun County,2103,2,
1,15,AL,Calhoun County,2103,3,
1,15,AL,Calhoun County,2200,1,
1,15,AL,Calhoun County,2200,2,
1,15,AL,Calhoun County,2200,3,
1,15,AL,Calhoun County,2200,4,
1,15,AL,Calhoun County,2300,1,
1,15,AL,Calhoun County,2300,2,
1,15,AL,Calhoun County,2300,3,
1,15,AL,Calhoun County,2300,4,
1,15,AL,Calhoun County,2400,1,
1,15,AL,Calhoun County,2501,1,
1,15,AL,Calhoun County,2501,2,
1,15,AL,Calhoun County,2502,1,
1,15,AL,Calhoun County,2502,2,
1,15,AL,Calhoun County,2502,4,
1,15,AL,Calhoun County,2600,1,
1,15,AL,Calhoun County,2600,2,
1,15,AL,Calhoun County,2600,3,
1,17,AL,Chambers County,953800,2,
1,17,AL,Chambers County,953800,3,
1,17,AL,Chambers County,953900,3,
1,17,AL,Chambers County,953900,4,
1,17,AL,Chambers County,954000,1,
1,17,AL,Chambers County,954000,2,
1,17,AL,Chambers County,954000,3,
1,17,AL,Chambers County,954000,4,
1,17,AL,Chambers County,954000,6,
1,17,AL,Chambers County,954200,3,
1,17,AL,Chambers County,954300,2,
1,17,AL,Chambers County,954300,3,
1,17,AL,Chambers County,954300,4,
1,17,AL,Chambers County,954300,5,
1,17,AL,Chambers County,954400,1,
1,17,AL,Chambers County,954500,1,
1,17,AL,Chambers County,954500,2,
1,17,AL,Chambers County,954500,3,
1,17,AL,Chambers County,954500,4,
1,17,AL,Chambers County,954600,3,
1,17,AL,Chambers County,954700,1,
1,17,AL,Chambers County,954700,2,
1,17,AL,Chambers County,954700,3,
1,19,AL,Cherokee County,955702,1,
1,19,AL,Cherokee County,955702,2,
1,19,AL,Cherokee County,955800,1,
1,19,AL,Cherokee County,955800,3,
1,19,AL,Cherokee County,955900,3,
1,19,AL,Cherokee County,956100,2,
1,19,AL,Cherokee County,956100,3,
1,21,AL,Chilton County,60101,1,
1,21,AL,Chilton County,60101,2,
1,21,AL,Chilton County,60101,3,
1,21,AL,Chilton County,60101,4,
1,21,AL,Chilton County,60102,1,
1,21,AL,Chilton County,60102,2,
1,21,AL,Chilton County,60102,3,
1,21,AL,Chilton County,60200,1,
1,21,AL,Chilton County,60200,2,
1,21,AL,Chilton County,60300,2,
1,21,AL,Chilton County,60401,1,
1,21,AL,Chilton County,60401,2,
1,21,AL,Chilton County,60401,3,
1,21,AL,Chilton County,60402,1,
1,21,AL,Chilton County,60402,2,
1,21,AL,Chilton County,60402,3,
1,21,AL,Chilton County,60402,4,
1,21,AL,Chilton County,60402,5,
1,21,AL,Chilton County,60500,1,
1,21,AL,Chilton County,60500,2,
1,21,AL,Chilton County,60500,3,
1,21,AL,Chilton County,60600,2,
1,21,AL,Chilton County,60700,1,
1,21,AL,Chilton County,60700,2,
1,21,AL,Chilton County,60700,3,
1,21,AL,Chilton County,60700,4,
1,23,AL,Choctaw County,956700,1,
1,23,AL,Choctaw County,956700,2,
1,23,AL,Choctaw County,956700,3,
1,23,AL,Choctaw County,956700,4,
1,23,AL,Choctaw County,956800,1,
1,23,AL,Choctaw County,956800,2,
1,23,AL,Choctaw County,956800,3,
1,23,AL,Choctaw County,956800,4,
1,23,AL,Choctaw County,956900,3,
1,23,AL,Choctaw County,957000,1,
1,23,AL,Choctaw County,957000,2,
1,25,AL,Clarke County,957500,1,
1,25,AL,Clarke County,957500,2,
1,25,AL,Clarke County,957602,1,
1,25,AL,Clarke County,957700,1,
1,25,AL,Clarke County,957700,2,
1,25,AL,Clarke County,957800,1,
1,25,AL,Clarke County,957800,3,
1,25,AL,Clarke County,957800,4,
1,25,AL,Clarke County,957800,6,
1,25,AL,Clarke County,957901,1,
1,25,AL,Clarke County,957902,2,
1,25,AL,Clarke County,957902,4,
1,25,AL,Clarke County,958001,1,
1,25,AL,Clarke County,958002,1,
