Fips State,Fips County,CBSA,State ,County Name,
46,13,10100,SD,Brown County,
46,45,10100,SD,Edmunds County,
53,27,10140,WA,Grays Harbor County,
48,59,10180,TX,Callahan County,
48,253,10180,TX,Jones County,
48,441,10180,TX,Taylor County,
40,123,10220,OK,Pontotoc County,
26,91,10300,MI,Lenawee County,
72,3,10380,PR,Aguada Municipio,
72,5,10380,PR,Aguadilla Municipio,
72,11,10380,PR,Anasco Municipio,
72,71,10380,PR,Isabela Municipio,
72,81,10380,PR,Lares Municipio,
72,99,10380,PR,Moca Municipio,
72,117,10380,PR,Rincon Municipio,
72,131,10380,PR,San Sebastian Municipio,
72,141,10380,PR,Utuado Municipio,
39,133,10420,OH,Portage County,
39,153,10420,OH,Summit County,
35,35,10460,NM,Otero County,
13,95,10500,GA,Dougherty County,
13,177,10500,GA,Lee County,
13,273,10500,GA,Terrell County,
13,321,10500,GA,Worth County,
41,43,10540,OR,Linn County,
36,1,10580,NY,Albany County,
36,83,10580,NY,Rensselaer County,
36,91,10580,NY,Saratoga County,
36,93,10580,NY,Schenectady County,
36,95,10580,NY,Schoharie County,
37,167,10620,NC,Stanly County,
27,47,10660,MN,Freeborn County,
1,95,10700,AL,Marshall County,
35,1,10740,NM,Bernalillo County,
35,43,10740,NM,Sandoval County,
35,57,10740,NM,Torrance County,
35,61,10740,NM,Valencia County,
1,37,10760,AL,Coosa County,
1,123,10760,AL,Tallapoosa County,
22,43,10780,LA,Grant Parish,
22,79,10780,LA,Rapides Parish,
27,41,10820,MN,Douglas County,
48,131,10860,TX,Duval County,
48,249,10860,TX,Jim Wells County,
34,41,10900,NJ,Warren County,
42,25,10900,PA,Carbon County,
42,77,10900,PA,Lehigh County,
42,95,10900,PA,Northampton County,
26,57,10940,MI,Gratiot County,
26,7,10980,MI,Alpena County,
42,13,11020,PA,Blair County,
40,65,11060,OK,Jackson County,
48,11,11100,TX,Armstrong County,
48,65,11100,TX,Carson County,
48,359,11100,TX,Oldham County,
48,375,11100,TX,Potter County,
48,381,11100,TX,Randall County,
13,249,11140,GA,Schley County,
13,261,11140,GA,Sumter County,
19,15,11180,IA,Boone County,
19,169,11180,IA,Story County,
36,57,11220,NY,Montgomery County,
2,20,11260,AK,Anchorage Municipality,
2,170,11260,AK,Matanuska-Susitna Borough,
48,3,11380,TX,Andrews County,
18,151,11420,IN,Steuben County,
26,161,11460,MI,Washtenaw County,
1,15,11500,AL,Calhoun County,
55,15,11540,WI,Calumet County,
55,87,11540,WI,Outagamie County,
12,27,11580,FL,DeSoto County,
40,19,11620,OK,Carter County,
40,85,11620,OK,Love County,
72,13,11640,PR,Arecibo Municipio,
72,27,11640,PR,Camuy Municipio,
72,65,11640,PR,Hatillo Municipio,
72,115,11640,PR,Quebradillas Municipio,
5,19,11660,AR,Clark County,
37,21,11700,NC,Buncombe County,
37,87,11700,NC,Haywood County,
37,89,11700,NC,Henderson County,
37,115,11700,NC,Madison County,
39,5,11740,OH,Ashland County,
39,7,11780,OH,Ashtabula County,
41,7,11820,OR,Clatsop County,
20,5,11860,KS,Atchison County,
39,9,11900,OH,Athens County,
47,107,11940,TN,McMinn County,
48,213,11980,TX,Henderson County,
13,59,12020,GA,Clarke County,
13,195,12020,GA,Madison County,
13,219,12020,GA,Oconee County,
13,221,12020,GA,Oglethorpe County,
13,13,12060,GA,Barrow County,
13,15,12060,GA,Bartow County,
13,35,12060,GA,Butts County,
13,45,12060,GA,Carroll County,
13,57,12060,GA,Cherokee County,
13,63,12060,GA,Clayton County,
13,67,12060,GA,Cobb County,
