Fips State,Fips County,State,County Name,Census Tract,
1,1,AL,Autauga County,20200,
1,1,AL,Autauga County,20300,
1,1,AL,Autauga County,20700,
1,1,AL,Autauga County,20900,
1,1,AL,Autauga County,21000,
1,1,AL,Autauga County,21100,
1,3,AL,Baldwin County,10100,
1,3,AL,Baldwin County,10200,
1,3,AL,Baldwin County,10400,
1,3,AL,Baldwin County,10500,
1,3,AL,Baldwin County,10600,
1,3,AL,Baldwin County,10800,
1,3,AL,Baldwin County,10903,
1,3,AL,Baldwin County,10904,
1,3,AL,Baldwin County,10905,
1,3,AL,Baldwin County,10906,
1,3,AL,Baldwin County,11000,
1,3,AL,Baldwin County,11401,
1,3,AL,Baldwin County,11403,
1,3,AL,Baldwin County,11407,
1,3,AL,Baldwin County,11408,
1,3,AL,Baldwin County,11501,
1,3,AL,Baldwin County,11502,
1,3,AL,Baldwin County,11601,
1,3,AL,Baldwin County,11602,
1,5,AL,Barbour County,950200,
1,5,AL,Barbour County,950300,
1,5,AL,Barbour County,950400,
1,5,AL,Barbour County,950600,
1,5,AL,Barbour County,950700,
1,5,AL,Barbour County,950900,
1,7,AL,Bibb County,10002,
1,7,AL,Bibb County,10003,
1,7,AL,Bibb County,10004,
1,9,AL,Blount County,50101,
1,9,AL,Blount County,50102,
1,9,AL,Blount County,50200,
1,9,AL,Blount County,50300,
1,9,AL,Blount County,50400,
1,9,AL,Blount County,50500,
1,9,AL,Blount County,50700,
1,11,AL,Bullock County,952100,
1,11,AL,Bullock County,952200,
1,13,AL,Butler County,952700,
1,13,AL,Butler County,952900,
1,13,AL,Butler County,953100,
1,13,AL,Butler County,953200,
1,13,AL,Butler County,953400,
1,13,AL,Butler County,953500,
1,15,AL,Calhoun County,200,
1,15,AL,Calhoun County,300,
1,15,AL,Calhoun County,400,
1,15,AL,Calhoun County,500,
1,15,AL,Calhoun County,600,
1,15,AL,Calhoun County,700,
1,15,AL,Calhoun County,800,
1,15,AL,Calhoun County,900,
1,15,AL,Calhoun County,1100,
1,15,AL,Calhoun County,1201,
1,15,AL,Calhoun County,1202,
1,15,AL,Calhoun County,1300,
1,15,AL,Calhoun County,1400,
1,15,AL,Calhoun County,1500,
1,15,AL,Calhoun County,1600,
1,15,AL,Calhoun County,1700,
1,15,AL,Calhoun County,1800,
1,15,AL,Calhoun County,2101,
1,15,AL,Calhoun County,2102,
1,15,AL,Calhoun County,2103,
1,15,AL,Calhoun County,2200,
1,15,AL,Calhoun County,2300,
1,15,AL,Calhoun County,2400,
1,15,AL,Calhoun County,2600,
1,17,AL,Chambers County,953800,
1,17,AL,Chambers County,953900,
1,17,AL,Chambers County,954000,
1,17,AL,Chambers County,954300,
1,17,AL,Chambers County,954400,
1,17,AL,Chambers County,954500,
1,17,AL,Chambers County,954600,
1,17,AL,Chambers County,954700,
1,19,AL,Cherokee County,955702,
1,21,AL,Chilton County,60101,
1,21,AL,Chilton County,60200,
1,21,AL,Chilton County,60300,
1,21,AL,Chilton County,60401,
1,21,AL,Chilton County,60402,
1,21,AL,Chilton County,60500,
1,21,AL,Chilton County,60600,
1,21,AL,Chilton County,60700,
1,23,AL,Choctaw County,956700,
1,23,AL,Choctaw County,956800,
1,23,AL,Choctaw County,957000,
1,25,AL,Clarke County,957500,
1,25,AL,Clarke County,957700,
1,25,AL,Clarke County,957902,
1,25,AL,Clarke County,958001,
1,25,AL,Clarke County,958002,
1,27,AL,Clay County,959000,
1,27,AL,Clay County,959100,
1,29,AL,Cleburne County,959500,
1,29,AL,Cleburne County,959600,
1,31,AL,Coffee County,10500,
1,31,AL,Coffee County,11300,
1,33,AL,Colbert County,20100,
1,33,AL,Colbert County,20200,
1,33,AL,Colbert County,20300,
1,33,AL,Colbert County,20500,
1,33,AL,Colbert County,20600,
1,33,AL,Colbert County,20704,
1,33,AL,Colbert County,20801,
1,33,AL,Colbert County,20802,
1,33,AL,Colbert County,20901,
1,33,AL,Colbert County,20902,
1,33,AL,Colbert County,21000,
1,35,AL,Conecuh County,960200,
1,35,AL,Conecuh County,960400,
1,35,AL,Conecuh County,960500,
1,35,AL,Conecuh County,960600,
1,37,AL,Coosa County,961000,
1,37,AL,Coosa County,961200,
1,39,AL,Covington County,961800,
1,39,AL,Covington County,962000,
1,39,AL,Covington County,962100,
1,39,AL,Covington County,962600,
1,39,AL,Covington County,962700,
1,39,AL,Covington County,962800,
1,39,AL,Covington County,963000,
1,41,AL,Crenshaw County,963400,
1,41,AL,Crenshaw County,963700,
1,41,AL,Crenshaw County,963800,
1,43,AL,Cullman County,964100,
1,43,AL,Cullman County,964800,
1,43,AL,Cullman County,965000,
1,43,AL,Cullman County,965401,
1,45,AL,Dale County,20500,
1,45,AL,Dale County,20700,
1,45,AL,Dale County,21102,
1,45,AL,Dale County,21400,
1,47,AL,Dallas County,956201,
1,47,AL,Dallas County,956300,
1,47,AL,Dallas County,956400,
1,47,AL,Dallas County,956500,
1,47,AL,Dallas County,956600,
1,47,AL,Dallas County,956702,
1,47,AL,Dallas County,956800,
1,47,AL,Dallas County,956900,
1,47,AL,Dallas County,957000,
1,47,AL,Dallas County,957100,
