Zip Code Tabulation Area,CBSA,CBSA Name,Qualify,
601,38660,"Ponce, PR",Yes,
602,10380,"Aguadilla-Isabela, PR",Yes,
603,10380,"Aguadilla-Isabela, PR",Yes,
606,38660,"Ponce, PR",Yes,
610,10380,"Aguadilla-Isabela, PR",Yes,
612,10380,"Aguadilla-Isabela, PR",Yes,
612,11640,"Arecibo, PR",Yes,
612,41980,"San Juan-Carolina-Caguas, PR",Yes,
616,11640,"Arecibo, PR",Yes,
617,41980,"San Juan-Carolina-Caguas, PR",Yes,
622,41900,"San Germán, PR",Yes,
623,32420,"Mayagüez, PR",Yes,
623,41900,"San Germán, PR",Yes,
624,38660,"Ponce, PR",Yes,
627,11640,"Arecibo, PR",Yes,
637,41900,"San Germán, PR",Yes,
638,41980,"San Juan-Carolina-Caguas, PR",Yes,
641,10380,"Aguadilla-Isabela, PR",Yes,
641,38660,"Ponce, PR",Yes,
646,41980,"San Juan-Carolina-Caguas, PR",Yes,
647,38660,"Ponce, PR",Yes,
650,11640,"Arecibo, PR",Yes,
650,41980,"San Juan-Carolina-Caguas, PR",Yes,
652,11640,"Arecibo, PR",Yes,
653,38660,"Ponce, PR",Yes,
656,38660,"Ponce, PR",Yes,
659,11640,"Arecibo, PR",Yes,
660,32420,"Mayagüez, PR",Yes,
662,10380,"Aguadilla-Isabela, PR",Yes,
664,,,Yes,
667,41900,"San Germán, PR",Yes,
669,10380,"Aguadilla-Isabela, PR",Yes,
670,,,Yes,
674,41980,"San Juan-Carolina-Caguas, PR",Yes,
676,10380,"Aguadilla-Isabela, PR",Yes,
677,10380,"Aguadilla-Isabela, PR",Yes,
678,11640,"Arecibo, PR",Yes,
680,32420,"Mayagüez, PR",Yes,
680,41900,"San Germán, PR",Yes,
682,32420,"Mayagüez, PR",Yes,
683,32420,"Mayagüez, PR",Yes,
683,41900,"San Germán, PR",Yes,
685,10380,"Aguadilla-Isabela, PR",Yes,
687,41980,"San Juan-Carolina-Caguas, PR",Yes,
688,11640,"Arecibo, PR",Yes,
690,10380,"Aguadilla-Isabela, PR",Yes,
692,41980,"San Juan-Carolina-Caguas, PR",Yes,
693,41980,"San Juan-Carolina-Caguas, PR",Yes,
698,38660,"Ponce, PR",Yes,
703,41980,"San Juan-Carolina-Caguas, PR",Yes,
704,,,Yes,
705,41980,"San Juan-Carolina-Caguas, PR",Yes,
707,41980,"San Juan-Carolina-Caguas, PR",Yes,
714,25020,"Guayama, PR",Yes,
715,38660,"Ponce, PR",Yes,
716,38660,"Ponce, PR",Yes,
717,38660,"Ponce, PR",Yes,
718,41980,"San Juan-Carolina-Caguas, PR",Yes,
719,41980,"San Juan-Carolina-Caguas, PR",Yes,
720,38660,"Ponce, PR",Yes,
720,41980,"San Juan-Carolina-Caguas, PR",Yes,
723,25020,"Guayama, PR",Yes,
723,41980,"San Juan-Carolina-Caguas, PR",Yes,
725,41980,"San Juan-Carolina-Caguas, PR",Yes,
727,41980,"San Juan-Carolina-Caguas, PR",Yes,
728,38660,"Ponce, PR",Yes,
729,41980,"San Juan-Carolina-Caguas, PR",Yes,
730,38660,"Ponce, PR",Yes,
731,38660,"Ponce, PR",Yes,
735,41980,"San Juan-Carolina-Caguas, PR",Yes,
736,41980,"San Juan-Carolina-Caguas, PR",Yes,
738,41980,"San Juan-Carolina-Caguas, PR",Yes,
739,41980,"San Juan-Carolina-Caguas, PR",Yes,
740,41980,"San Juan-Carolina-Caguas, PR",Yes,
741,41980,"San Juan-Carolina-Caguas, PR",Yes,
745,41980,"San Juan-Carolina-Caguas, PR",Yes,
751,,,Yes,
754,41980,"San Juan-Carolina-Caguas, PR",Yes,
757,,,Yes,
765,,,Yes,
766,38660,"Ponce, PR",Yes,
767,41980,"San Juan-Carolina-Caguas, PR",Yes,
769,,,Yes,
771,41980,"San Juan-Carolina-Caguas, PR",Yes,
772,41980,"San Juan-Carolina-Caguas, PR",Yes,
773,41980,"San Juan-Carolina-Caguas, PR",Yes,
775,,,Yes,
777,41980,"San Juan-Carolina-Caguas, PR",Yes,
778,41980,"San Juan-Carolina-Caguas, PR",Yes,
780,38660,"Ponce, PR",Yes,
782,41980,"San Juan-Carolina-Caguas, PR",Yes,
783,41980,"San Juan-Carolina-Caguas, PR",Yes,
784,25020,"Guayama, PR",Yes,
791,41980,"San Juan-Carolina-Caguas, PR",Yes,
794,41980,"San Juan-Carolina-Caguas, PR",Yes,
795,38660,"Ponce, PR",Yes,
901,41980,"San Juan-Carolina-Caguas, PR",Yes,
907,41980,"San Juan-Carolina-Caguas, PR",Yes,
909,41980,"San Juan-Carolina-Caguas, PR",Yes,
911,41980,"San Juan-Carolina-Caguas, PR",Yes,
912,41980,"San Juan-Carolina-Caguas, PR",Yes,
913,41980,"San Juan-Carolina-Caguas, PR",Yes,
915,41980,"San Juan-Carolina-Caguas, PR",Yes,
917,41980,"San Juan-Carolina-Caguas, PR",Yes,
918,41980,"San Juan-Carolina-Caguas, PR",Yes,
920,41980,"San Juan-Carolina-Caguas, PR",Yes,
921,41980,"San Juan-Carolina-Caguas, PR",Yes,
923,41980,"San Juan-Carolina-Caguas, PR",Yes,
924,41980,"San Juan-Carolina-Caguas, PR",Yes,
925,41980,"San Juan-Carolina-Caguas, PR",Yes,
926,41980,"San Juan-Carolina-Caguas, PR",Yes,
927,41980,"San Juan-Carolina-Caguas, PR",Yes,
936,41980,"San Juan-Carolina-Caguas, PR",Yes,
